"level","band","n_trials","item_sd","skew","item_min","item_max","squares_at_edge","shown_minus_recorded"
"2 squares","14-17",212,4,0,11.4481132075472,19.4481132075472,0,0
"2 squares","18-21",186,4,0,15.6182795698925,23.6182795698925,0,0
"2 squares","22-28",334,4,0,20.9820359281437,28.9820359281437,0,0
"2 squares","29-31",143,4,0,26.020979020979,34.020979020979,0,0
"2 squares","32+",269,4,0,29.9182156133829,37.9182156133829,0,0
"10 squares","14-17",225,5.9464274989274,-0.125669583629514,6.45333333333333,24.4533333333333,0,0.199999999999999
"10 squares","18-21",229,5.9464274989274,-0.125669583629514,10.4978165938865,28.4978165938865,0,0.199999999999999
"10 squares","22-28",323,5.9464274989274,-0.125669583629514,16.0092879256966,34.0092879256966,0,0.199999999999999
"10 squares","29-31",140,5.9464274989274,-0.125669583629514,20.9785714285714,38.9785714285714,0,0.199999999999999
"10 squares","32+",231,5.9464274989274,-0.125669583629516,24.995670995671,42.995670995671,0,0.200000000000003
"20 squares","14-17",183,5.5,0.398497370398196,5.56284153005465,24.5628415300546,0,-1.5
"20 squares","18-21",214,5.5,0.398497370398196,9.50934579439252,28.5093457943925,0,-1.5
"20 squares","22-28",338,5.5,0.398497370398196,15.0325443786982,34.0325443786982,0,-1.5
"20 squares","29-31",148,5.5,0.398497370398196,20.0743243243243,39.0743243243243,0,-1.5
"20 squares","32+",256,5.5,0.398497370398196,24.0078125,43.0078125,0,-1.5
