"trial_type","trial_index","time_elapsed","internal_node_id","participant_id","rt","url","view_history","responses","stimulus","key_press","Name","config"
"pavlovia","0","4","0.0-0.0","664cf2037353bb98801436b5","","","","","","","",""
"external-html","1","18660","0.0-1.0","664cf2037353bb98801436b5","18650","external_page.html","","","","","",""
"instructions","2","25043","0.0-2.0","664cf2037353bb98801436b5","6381","","[{""page_index"":0,""viewing_time"":1746},{""page_index"":1,""viewing_time"":883},{""page_index"":2,""viewing_time"":882},{""page_index"":3,""viewing_time"":2869}]","","","","",""
"survey-text","3","28616","0.0-3.0","664cf2037353bb98801436b5","3553","","","{""Q0"":""664cf2037353bb98801436b5""}","","","",""
"instructions","4","35691","0.0-4.0","664cf2037353bb98801436b5","7074.000000000007","","[{""page_index"":0,""viewing_time"":7074.000000000007}]","","","","",""
"survey-text","5","64528","0.0-5.0","664cf2037353bb98801436b5","28829","","","{""Q0"":""Three giraffes in a field in the safari ""}","","","",""
"survey-text","6","69614","0.0-6.0-0.0","664cf2037353bb98801436b5","5078","","","{""Q0"":""but""}","","","",""
"html-keyboard-response","7","70119","0.0-7.0","664cf2037353bb98801436b5","null","","","","<p style=""font-size: 48px;""> + </p>","null","fixation",""
"html-keyboard-response","8","71624","0.0-8.0","664cf2037353bb98801436b5","null","","","","<span class='grid'><div> </div> <div> </div> <div> </div> <div> </div> <div class='red' style='background-position:3800% 0%;margin-top:46px'></div> <div> </div> <div> </div> <div class='red' style='background-position:4800% 0%;margin-top:37px'></div> <div> </div> <div> </div> <div class='red' style='background-position:4200% 0%;margin-top:28px'></div> <div> </div> <div class='red' style='background-position:4600% 0%;margin-top:28px'></div> <div> </div> <div> </div> <div class='red' style='background-position:3200% 0%;margin-top:35px'></div></span>","null","stimulus",""
