"experiment","version","segment","n_participants","lowest_minus_highest","p"
"exp1","raw","low",27,-0.195166750280511,0.763528290131598
"exp1","raw","mid",44,0.0327695420015547,0.379444471370982
"exp1","raw","high",25,-0.339529160856798,0.0240837332285758
"exp1","shift_removed","low",26,-1.0305727936114,0.21454326891291
"exp1","shift_removed","mid",44,0.0450798349464694,0.23915320354437
"exp1","shift_removed","high",31,-1.20473685751653,0.153146347351308
