"split","earlier","later","change_earlier","change_later","n","mean","se","t","p"
"half","early","late",-0.0559697917030948,-0.0868993014879168,41,-0.030929509784822,0.058762813901043,-0.526344940473876,0.601555118245539
"block","first block","second block",-0.125397781624521,-0.00513474120494654,44,0.120263040419575,0.0631135863106328,1.90550161145436,0.0634151991026452
