"experiment","version","level","report","mean_objective","n","sd_objective","min_objective","max_objective"
"exp1","raw","6 squares",39,31.9285714285714,14,5.44149704675929,18,36
"exp1","raw","6 squares",40,34.6666666666667,6,1.63299316185545,32,36
"exp1","raw","6 squares",41,29,2,8.48528137423857,23,35
"exp1","raw","6 squares",42,35,4,2,32,36
"exp1","raw","6 squares",43,36,2,0,36,36
"exp1","raw","6 squares",44,30,4,2.94392028877595,27,33
"exp1","raw","6 squares",45,33.3333333333333,3,2.88675134594813,30,35
"exp1","raw","6 squares",46,36,1,NA,36,36
"exp1","raw","6 squares",48,33,7,3.51188458428425,28,36
"exp1","raw","8 squares",1,17,1,NA,17,17
"exp1","raw","8 squares",5,17,1,NA,17,17
"exp1","raw","8 squares",6,19,1,NA,19,19
"exp1","raw","8 squares",7,14.8,5,1.09544511501033,14,16
"exp1","raw","8 squares",8,17.25,4,5.85234995535981,14,26
"exp1","raw","8 squares",9,18.2,15,5.97853302599033,14,35
"exp1","raw","8 squares",10,20.3333333333333,9,5.02493781056044,14,26
"exp1","raw","8 squares",11,17,8,2.32992949004287,14,21
"exp1","raw","8 squares",12,17.3333333333333,12,4.00756859711797,14,25
"exp1","raw","8 squares",13,19.4,20,4.17259227768416,15,30
"exp1","raw","8 squares",14,19.1304347826087,23,3.69648909379608,14,27
"exp1","raw","8 squares",15,18.68,25,5.25769277662107,14,32
"exp1","raw","8 squares",16,19.7333333333333,30,3.80501786060726,14,27
"exp1","raw","8 squares",17,20.4516129032258,31,5.78986879343231,14,35
"exp1","raw","8 squares",18,19.8709677419355,31,3.82746160863717,14,29
"exp1","raw","8 squares",19,21.5348837209302,43,4.16532647328086,15,33
"exp1","raw","8 squares",20,22.1463414634146,41,4.92727600003164,14,36
"exp1","raw","8 squares",21,21.56,50,4.572142801348,14,34
"exp1","raw","8 squares",22,24.8148148148148,54,6.13088092434159,14,36
"exp1","raw","8 squares",23,24.575,40,4.66787987892818,17,36
"exp1","raw","8 squares",24,24.45,40,7.09261081726103,15,36
"exp1","raw","8 squares",25,26.8292682926829,41,6.25260921145881,14,36
"exp1","raw","8 squares",26,27.7441860465116,43,4.76641536095356,16,36
"exp1","raw","8 squares",27,26.0714285714286,42,5.21906849525738,16,36
"exp1","raw","8 squares",28,27.5416666666667,48,5.46150292359138,17,36
"exp1","raw","8 squares",29,27.6326530612245,49,6.4118831007715,15,36
"exp1","raw","8 squares",30,26.6170212765957,47,5.20682324701198,15,36
"exp1","raw","8 squares",31,28.6052631578947,38,5.851954968718,14,36
"exp1","raw","8 squares",32,29,32,5.54163129586901,18,36
"exp1","raw","8 squares",33,30.4848484848485,33,3.36453202653441,24,36
"exp1","raw","8 squares",34,30.4137931034483,29,4.55535196522657,20,36
"exp1","raw","8 squares",35,31.5238095238095,21,4.47905177039792,22,36
"exp1","raw","8 squares",36,30.8571428571429,14,3.41618642206916,25,35
"exp1","raw","8 squares",37,32,18,2.65684465662029,26,36
"exp1","raw","8 squares",38,32.875,8,5.30330085889911,20,36
"exp1","raw","8 squares",39,32.6666666666667,9,2.91547594742265,27,36
"exp1","raw","8 squares",40,30.3,10,7.11883261341196,14,36
"exp1","raw","8 squares",41,30.6666666666667,6,3.98329846567724,24,35
"exp1","raw","8 squares",42,34.4,5,1.67332005306815,32,36
"exp1","raw","8 squares",43,32.4,5,2.19089023002066,29,35
"exp1","raw","8 squares",44,31.5,4,6.35085296108588,22,35
"exp1","raw","8 squares",45,35.3333333333333,3,0.577350269189626,35,36
