"colour","band_range","band","n","mean","se","t","p"
"blue","","both ends, shift removed",2,NA,NA,NA,NA
"blue","14-18","bottom",11,3.9469696969697,0.901278043685402,4.37930306260453,0.00137890059537759
"blue","32-36","top",12,5.94563492063492,1.71004440239155,3.47688920376557,0.00517674039784307
"red","","both ends, shift removed",0,NA,NA,NA,NA
"red","14-18","bottom",7,3.28809523809524,1.16462811857388,2.82330057608569,0.0302227038575451
"red","32-36","top",9,5.20555555555556,1.67298109395795,3.11154475944508,0.0144117781958583
"both","","both ends, shift removed",29,0.57599890530925,0.602850905959045,0.955458305885637,0.347522966382763
"both","14-18","bottom",34,4.13956582633053,0.549670054148679,7.53100117986567,1.16183968402159e-08
"both","32-36","top",38,3.00860484544695,0.764697476442917,3.93437266125402,0.000353533807254901
