"bin","err_high","err_low","n_high","n_low","change"
"[14,18]",3.15420560747664,-1.29145728643216,214,199,4.4456628939088
"(18,23]",1.77832512315271,-2.45454545454545,203,231,4.23287057769816
"(23,28]",1.03930131004367,-2.5962441314554,229,213,3.63554544149907
"(28,32]",-0.431693989071038,-2.07222222222222,183,180,1.64052823315118
"(32,36]",-0.182857142857143,-3.82258064516129,175,186,3.63972350230415
