"experiment","group","level","n_trials","mean_item_sd","r","sd_objective","sd_report","sd_ratio","slope","split_from","split_to","log_change_slope","log_change_from_r","log_change_from_sd_ratio","share_from_r","share_from_sd_ratio","paired_n","paired_p_r","paired_p_sd_ratio"
"exp1","all",2,1008,4,0.744438364233944,6.56075046365821,7.81229717455585,1.19076273634096,0.886449463632397,"2","12",-0.0835793533773137,-0.061022071269922,-0.0225572821073916,0.730109396688459,0.26989060331154,44,0.0338578277814746,0.274074111893758
"exp1","all",6,1025,4.32049379893857,0.702697663407883,6.6393830819682,7.75386754996051,1.1678596421133,0.820652241701385,"2","12",-0.0835793533773137,-0.061022071269922,-0.0225572821073916,0.730109396688459,0.26989060331154,44,0.0338578277814746,0.274074111893758
"exp1","all",8,999,5.47722557505166,0.664735106375831,6.58358871952364,7.47674056662088,1.13566337223475,0.754915312549601,"2","12",-0.0835793533773137,-0.061022071269922,-0.0225572821073916,0.730109396688459,0.26989060331154,44,0.0338578277814746,0.274074111893758
"exp1","all",12,1002,5.45180907793204,0.700369455438246,6.60561326164603,7.69027509805178,1.16420304874698,0.815372255270467,"2","12",-0.0835793533773137,-0.061022071269922,-0.0225572821073916,0.730109396688459,0.26989060331154,44,0.0338578277814746,0.274074111893758
"exp1","average",2,530,4,0.720382743935723,6.41370036249634,7.9552678211088,1.24035539103552,0.893530620049634,"2","12",-0.228592984122003,-0.0939417430331526,-0.13465124108885,0.410956370310188,0.589043629689813,23,0.0680364542882553,0.00531021809129688
"exp1","average",6,535,4.32049379893857,0.696993078787214,6.53529367563535,7.67395485203727,1.17423259503196,0.818431991623628,"2","12",-0.228592984122003,-0.0939417430331526,-0.13465124108885,0.410956370310188,0.589043629689813,23,0.0680364542882553,0.00531021809129688
"exp1","average",8,524,5.47722557505166,0.662937243371244,6.45011795252439,7.33626209726916,1.137384176734,0.754014330778111,"2","12",-0.228592984122003,-0.0939417430331526,-0.13465124108885,0.410956370310188,0.589043629689813,23,0.0680364542882553,0.00531021809129688
"exp1","average",12,522,5.45180907793204,0.65579019725536,6.69512838712766,7.25816366884145,1.08409626360509,0.710939702553379,"2","12",-0.228592984122003,-0.0939417430331526,-0.13465124108885,0.410956370310188,0.589043629689813,23,0.0680364542882553,0.00531021809129688
"exp1","experience",2,478,4,0.771737115544754,6.71635148401374,7.65083753952432,1.13913596656382,0.879113505049246,"2","12",0.0610005345047493,-0.0313172111131833,0.0923177456179324,-0.513392404959092,1.51339240495909,21,0.265467105609728,0.0840286432292089
"exp1","experience",6,490,4.32049379893857,0.708958928498518,6.75775852023153,7.84150250157123,1.16037033257332,0.822654907642648,"2","12",0.0610005345047493,-0.0313172111131833,0.0923177456179324,-0.513392404959092,1.51339240495909,21,0.265467105609728,0.0840286432292089
"exp1","experience",8,475,5.47722557505166,0.666274990461704,6.73218289812375,7.63189292389889,1.13364313468457,0.755318068748942,"2","12",0.0610005345047493,-0.0313172111131833,0.0923177456179324,-0.513392404959092,1.51339240495909,21,0.265467105609728,0.0840286432292089
"exp1","experience",12,480,5.45180907793204,0.747942988894613,6.50944386816615,8.13228402381058,1.24930549959587,0.934409289410212,"2","12",0.0610005345047493,-0.0313172111131833,0.0923177456179324,-0.513392404959092,1.51339240495909,21,0.265467105609728,0.0840286432292089
