"experiment","condition","array_length","slope","SE","df","ci_low","ci_high","t.ratio","p.value"
"exp3","experience","2",0.882234935567038,0.0449163821957201,37.6024593970566,0.791274893888677,0.973194977245398,19.6417185098024,2.29320375022263e-21
"exp3","experience","10",0.798839924826247,0.0417846249737297,35.8084024393856,0.714081030613055,0.883598819039439,19.1180350506552,2.24268200892973e-20
"exp3","experience","20",0.884981498618613,0.0468682341705845,36.7142694329196,0.789992482591258,0.979970514645969,18.8823307359433,1.70516392570114e-20
"exp3","average","2",0.826033371789563,0.0358759841208664,44.4610454595945,0.753751247206081,0.898315496373046,23.0246888561064,2.42979630277638e-26
"exp3","average","10",0.700937518526473,0.0398414418664926,44.868253156089,0.620686231592709,0.781188805460237,17.5931764938451,9.24883541378687e-22
"exp3","average","20",0.742020825142595,0.040069711278413,44.3899978758113,0.661285662679937,0.822755987605253,18.5182473611271,1.66140396612725e-22
