"experiment","tail","condition","array_length","n_trials","mean_report","mean_obj","se_obj"
"exp3","high","average","2",27,39.1111111111111,33.962962962963,0.343774430290561
"exp3","high","average","10",37,39,33.6486486486486,0.410478765761965
"exp3","high","average","20",28,38.6071428571429,32.6428571428571,0.491230734141072
"exp3","high","experience","2",31,40.0322580645161,32.0322580645161,0.74988726173137
"exp3","high","experience","10",65,39.1846153846154,32.3538461538462,0.448518270590234
"exp3","high","experience","20",66,40.4090909090909,32.5757575757576,0.406279730738163
"exp3","low","average","2",236,10.4957627118644,18.0466101694915,0.264380396429366
"exp3","low","average","10",129,11.2635658914729,18.3100775193798,0.385950962615898
"exp3","low","average","20",192,10.90625,18.0260416666667,0.302822212382163
"exp3","low","experience","2",225,9.79555555555556,18.7688888888889,0.302108405272272
"exp3","low","experience","10",132,10.8484848484848,17.9242424242424,0.386060192079599
"exp3","low","experience","20",146,10.1164383561644,17.7260273972603,0.282461771955884
