"experiment","window","effect","Sum Sq","Mean Sq","df1","df2","F","p"
"exp3","low","array_length",96.2800059355967,48.1400029677983,2,646.327612186417,3.03884409227384,0.0485750489950983
"exp3","low","condition",0.123710799884014,0.123710799884014,1,84.6979183783223,0.00780926070215404,0.929791200088192
"exp3","low","array_length:condition",68.3807929233981,34.1903964616991,2,646.327612191441,2.15827332560895,0.116356309668186
