"experiment","window","contrast","estimate","SE","df","t.ratio","p.value"
"exp3","low","array_length2 - array_length10",0.758378130606099,0.401126128192909,642.580240804625,1.89062261793473,0.142189056114194
"exp3","low","array_length2 - array_length20",0.815994846308021,0.374571305624125,648.683370543454,2.17847665866551,0.0756498928814748
"exp3","low","array_length10 - array_length20",0.0576167157019222,0.43341249907095,646.971894357251,0.132937365270793,0.990304545184086
