"comparison_set","experiment","measure","contrast","condition","estimate","SE","df","t.ratio","p.value","array_length"
"noise","exp3","sd_response","X10 - X20","average",-0.243304378594129,0.18042343987937,82,-1.34851867782147,0.372746279612252,NA
"noise","exp3","sd_response","X2 - X10","experience",0.302861600447431,0.211088744605556,82,1.4347595889746,0.327966977349496,NA
"noise","exp3","sd_response","X2 - X20","experience",-0.168163682439245,0.244407698722155,82,-0.688045766636896,0.771118525938247,NA
"noise","exp3","sd_response","X10 - X20","experience",-0.471025282886676,0.198508942676966,82,-2.37281644108688,0.0517261704471528,NA
"condition","exp3","sd_response","average - experience",NA,-0.313432630263443,0.355539877424215,82,-0.88156814513796,0.380587181104743,"X2"
"condition","exp3","sd_response","average - experience",NA,-0.631816559788452,0.351488035035229,82,-1.79754784462329,0.0759298237885234,"X10"
"condition","exp3","sd_response","average - experience",NA,-0.859537464080998,0.398315737445826,82,-2.15792996177537,0.0338584907775118,"X20"
"noise","exp3","sd_objective","X2 - X10","average",0.212717970053398,0.115600627010265,82,1.84011086751727,0.163071451338485,NA
"noise","exp3","sd_objective","X2 - X20","average",0.102052047505674,0.107631213975159,82,0.9481640477383,0.611555205335973,NA
"noise","exp3","sd_objective","X10 - X20","average",-0.110665922547724,0.132166043127652,82,-0.837324928013752,0.681020747459518,NA
"noise","exp3","sd_objective","X2 - X10","experience",-0.247325110615816,0.127188342356983,82,-1.94455801555808,0.132821430517871,NA
"noise","exp3","sd_objective","X2 - X20","experience",-0.191479909752777,0.118420081667504,82,-1.61695471795406,0.24430200083019,NA
"noise","exp3","sd_objective","X10 - X20","experience",0.0558452008630392,0.145414262673463,82,0.384042114138716,0.922001667425154,NA
"condition","exp3","sd_objective","average - experience",NA,0.273793894312054,0.118777388355984,82,2.30510114847343,0.0236884653793321,"X2"
"condition","exp3","sd_objective","average - experience",NA,-0.186249186357161,0.133521743304015,82,-1.39489780277277,0.166813698867915,"X10"
"condition","exp3","sd_objective","average - experience",NA,-0.0197380629463977,0.123490818250807,82,-0.159834255096684,0.873404700146447,"X20"
"noise","exp3","mean_rt","X2 - X10","average",59.2893022072569,34.8560490558616,82,1.70097598015878,0.210977769159437,NA
"noise","exp3","mean_rt","X2 - X20","average",3.70358317231231,34.2346746732214,82,0.108182221904077,0.993569020107508,NA
"noise","exp3","mean_rt","X10 - X20","average",-55.5857190349444,30.223955704938,82,-1.83912786193843,0.163378849366835,NA
"noise","exp3","mean_rt","X2 - X10","experience",-11.8611332385992,38.3499918225796,82,-0.309286460697903,0.948669965109613,NA
"noise","exp3","mean_rt","X2 - X20","experience",-13.6107219454906,37.6663313636783,82,-0.361349817004357,0.930618669471955,NA
"noise","exp3","mean_rt","X10 - X20","experience",-1.74958870689161,33.2535811007376,82,-0.0526135426314373,0.998475021207681,NA
"condition","exp3","mean_rt","average - experience",NA,450.013054340262,210.254541299573,82,2.1403250153778,0.0352994458939545,"X2"
"condition","exp3","mean_rt","average - experience",NA,378.862618894406,205.014868164705,82,1.84797630672345,0.0682111998688302,"X10"
"condition","exp3","mean_rt","average - experience",NA,432.698749222459,206.716478641023,82,2.09319911052601,0.0394217407571195,"X20"
