"experiment","condition","formula","rand_used","singular"
"exp3","experience","indexSelected ~ meanVal_c * array_length + (1 | participant_id) + (0 + meanVal_c:array_length | participant_id)","slope_by_level",FALSE
"exp3","average","indexSelected ~ meanVal_c * array_length + (1 | participant_id) + (0 + meanVal_c:array_length | participant_id)","slope_by_level",FALSE
