"participant_id","condition","array_length","n_sides","n_low","n_high","inward_low","inward_high","inward"
"average.62e97dfea1a1ef00cb9f0b10","average","10",2,11,5,-0.454545454545454,7,3.27272727272727
"average.62e97dfea1a1ef00cb9f0b10","average","20",2,4,9,-2.5,7.88888888888889,2.69444444444444
"average.631a9f635762d2b83a53202b","average","2",2,11,9,-5.18181818181818,4.44444444444444,-0.368686868686869
"average.631a9f635762d2b83a53202b","average","10",2,15,4,-3,2.5,-0.25
"average.631a9f635762d2b83a53202b","average","20",2,6,8,-3.83333333333333,6.875,1.52083333333333
"average.63b82398bbe6a599972413ad","average","2",2,8,8,-4.875,0.75,-2.0625
"average.63b82398bbe6a599972413ad","average","10",2,13,12,-0.0769230769230772,0.75,0.336538461538461
"average.63b82398bbe6a599972413ad","average","20",2,6,6,-0.666666666666667,4,1.66666666666667
"average.63dab0380b8791f9560fd329","average","2",2,9,12,-1.77777777777778,12.0833333333333,5.15277777777778
"average.63dab0380b8791f9560fd329","average","10",2,10,10,1.3,10.4,5.85
"average.63dab0380b8791f9560fd329","average","20",2,9,8,-0.222222222222222,9.625,4.70138888888889
"average.64509bfcd8d8b7e61f801e95","average","2",2,9,9,1.44444444444444,2.77777777777778,2.11111111111111
"average.64509bfcd8d8b7e61f801e95","average","10",2,6,7,2.33333333333333,4.57142857142857,3.45238095238095
"average.64509bfcd8d8b7e61f801e95","average","20",2,12,6,0.0833333333333333,2.66666666666667,1.375
"average.64a6e31ef9a471c4f100c91f","average","2",2,7,9,-3.57142857142857,10.4444444444444,3.43650793650794
"average.64a6e31ef9a471c4f100c91f","average","10",2,9,7,-1.33333333333333,13.1428571428571,5.9047619047619
"average.64a6e31ef9a471c4f100c91f","average","20",2,4,9,0.5,10.6666666666667,5.58333333333333
"average.650b695bf3b3d34f9c461926","average","2",2,9,8,-2.22222222222222,6.125,1.95138888888889
"average.650b695bf3b3d34f9c461926","average","10",2,7,7,1.85714285714286,7.28571428571429,4.57142857142857
"average.650b695bf3b3d34f9c461926","average","20",2,4,10,1.5,7.6,4.55
"average.6544fd4daeb0e81889e217f7","average","2",2,5,12,-6.4,6.83333333333333,0.216666666666667
"average.6544fd4daeb0e81889e217f7","average","10",2,8,6,0.125,1.5,0.8125
"average.6544fd4daeb0e81889e217f7","average","20",2,4,7,-1.5,3,0.75
"average.656c1adbdb298e7230d7b396","average","2",2,7,8,-3.42857142857143,2.125,-0.651785714285714
"average.656c1adbdb298e7230d7b396","average","10",2,8,8,-0.75,0.125,-0.3125
"average.656c1adbdb298e7230d7b396","average","20",2,5,9,3.6,7.66666666666667,5.63333333333333
"average.65fa95fafeda35caf378b6f9","average","2",2,7,9,-2,2.22222222222222,0.111111111111111
"average.65fa95fafeda35caf378b6f9","average","10",2,8,3,3.25,-4.33333333333333,-0.541666666666667
