"difference","experiment","condition","array_length","two_stage","two_stage_se","lmm","lmm_se"
0.000344601492214047,"exp3","average","2",0.828016305632839,0.037768494582831,0.827671704140625,0.0380576236315409
-0.00329887644526239,"exp3","average","10",0.698055073320921,0.0406903463099565,0.701353949766183,0.0392191472069865
-0.00214925487261064,"exp3","average","20",0.73645774207903,0.0405628463181043,0.73860699695164,0.0413819592124747
0.00528934684640703,"exp3","experience","2",0.885836709764434,0.0435713431086214,0.880547362918027,0.0422807243593942
-0.00227821626026514,"exp3","experience","10",0.797811820808483,0.0411616507939425,0.800090037068748,0.0428058279447815
-0.00262365741075954,"exp3","experience","20",0.878451187382877,0.0472550904052278,0.881074844793636,0.0454505585115794
