"colour","band_range","band","n","mean","se","t","p"
"blue","","both ends, shift removed",27,0.292504409171076,0.43402850050438,0.673929036529074,0.50630427814089
"blue","14-18","bottom",70,0.273299319727891,0.515053033449448,0.530623648398947,0.597383341609835
"blue","32-36","top",89,0.649866238630283,0.451018114586853,1.44088722295685,0.153165327833578
"red","","both ends, shift removed",26,0.423649267399268,0.479867969667181,0.88284547871177,0.385730515920144
"red","14-18","bottom",73,1.3001630789302,0.484409706123928,2.68401533349453,0.00902042351340712
"red","32-36","top",70,-0.323894557823129,0.486694176548253,-0.66549914387771,0.50794988777819
"both","","both ends, shift removed",144,0.380702139295889,0.199462285991695,1.90864221475803,0.058311930430377
"both","14-18","bottom",150,0.808820235320235,0.281104483397765,2.87729397106679,0.00460054278649502
"both","32-36","top",160,-0.0065432657620158,0.318442086960945,-0.0205477417399864,0.983632190578304
