"split","earlier","later","change_earlier","change_later","n","mean","se","t","p"
"half","early","late",-0.00696029047244003,-0.0606292700169208,160,-0.0536689795444807,0.0250303910834666,-2.14415265688481,0.0335403418142114
"block","first block","second block",-0.0379629182717473,-0.0338635908952618,166,0.00409932737648547,0.0279715607424267,0.146553401657981,0.883663440740091
