"bin","err_high","err_low","n_high","n_low","change"
"[14,18]",-0.841485507246377,-1.50580270793037,1104,1034,0.664317200683991
"(18,23]",-1.82222222222222,-2.85787671232877,1125,1168,1.03565449010654
"(23,27]",-2.89467723669309,-3.26062639821029,883,894,0.365949161517199
"(27,32]",-3.79379562043796,-3.84324324324324,1096,1110,0.0494476228052867
"(32,36]",-4.66143497757847,-4.30497237569061,892,905,-0.356462601887867
