"level","band","n_trials","p","inward_skew"
"2 squares","14-17",804,NA,0
"2 squares","32+",1137,NA,0
"10 squares","14-17",851,NA,-0.125669583629514
"10 squares","32+",1096,NA,0.125669583629516
"20 squares","14-17",871,NA,0.398497370398196
"20 squares","32+",1096,NA,-0.398497370398196
