participant_id,trial,fixationTime,meanVal,indexSelected,array_length,color
6631997e0554bb6d25062fd4,21,400,36,30,6,red
6631997e0554bb6d25062fd4,22,500,31,26,2,red
6631997e0554bb6d25062fd4,23,500,32,30,8,red
6631997e0554bb6d25062fd4,24,500,18,17,2,red
6631997e0554bb6d25062fd4,25,600,31,32,2,red
6631997e0554bb6d25062fd4,26,500,22,19,6,red
6631997e0554bb6d25062fd4,27,400,24,26,12,red
6631997e0554bb6d25062fd4,28,500,32,27,8,red
6631997e0554bb6d25062fd4,29,400,14,19,6,red
6631997e0554bb6d25062fd4,30,600,22,23,12,red
6631997e0554bb6d25062fd4,31,500,17,12,2,red
6631997e0554bb6d25062fd4,32,400,28,23,12,red
6631997e0554bb6d25062fd4,33,500,23,19,6,red
6631997e0554bb6d25062fd4,34,500,17,23,12,red
6631997e0554bb6d25062fd4,35,500,21,20,12,red
6631997e0554bb6d25062fd4,36,400,18,20,8,red
6631997e0554bb6d25062fd4,37,400,22,24,6,red
6631997e0554bb6d25062fd4,38,400,35,33,2,red
6631997e0554bb6d25062fd4,39,600,26,30,8,red
6631997e0554bb6d25062fd4,40,500,35,29,2,red
6631997e0554bb6d25062fd4,41,600,14,13,6,red
6631997e0554bb6d25062fd4,42,400,34,35,8,red
6631997e0554bb6d25062fd4,43,600,22,25,6,red
6631997e0554bb6d25062fd4,44,400,30,30,8,red
6631997e0554bb6d25062fd4,45,400,36,39,6,red
6631997e0554bb6d25062fd4,46,500,26,25,6,red
6631997e0554bb6d25062fd4,47,400,26,28,6,red
6631997e0554bb6d25062fd4,48,600,36,32,6,red
6631997e0554bb6d25062fd4,49,400,35,36,12,red
6631997e0554bb6d25062fd4,50,600,19,13,2,red
6631997e0554bb6d25062fd4,51,400,21,16,8,red
6631997e0554bb6d25062fd4,52,500,35,33,12,red
6631997e0554bb6d25062fd4,53,500,22,15,12,red
6631997e0554bb6d25062fd4,54,400,19,18,12,red
6631997e0554bb6d25062fd4,55,600,30,31,8,red
6631997e0554bb6d25062fd4,56,400,16,17,2,red
6631997e0554bb6d25062fd4,57,400,26,22,6,red
6631997e0554bb6d25062fd4,58,400,20,22,8,red
6631997e0554bb6d25062fd4,59,600,27,28,8,red
6631997e0554bb6d25062fd4,60,400,18,17,12,red
6631997e0554bb6d25062fd4,61,400,29,27,8,red
6631997e0554bb6d25062fd4,62,500,17,13,2,red
6631997e0554bb6d25062fd4,63,500,16,13,2,red
6631997e0554bb6d25062fd4,64,500,15,19,12,red
6631997e0554bb6d25062fd4,65,500,26,25,12,red
6631997e0554bb6d25062fd4,66,500,14,11,2,red
6631997e0554bb6d25062fd4,67,600,26,25,8,red
6631997e0554bb6d25062fd4,68,400,36,31,2,red
6631997e0554bb6d25062fd4,69,400,29,24,2,blue
6631997e0554bb6d25062fd4,70,400,27,26,8,blue
6631997e0554bb6d25062fd4,71,500,35,24,12,blue
6631997e0554bb6d25062fd4,72,500,35,32,2,blue
6631997e0554bb6d25062fd4,73,600,17,20,12,blue
6631997e0554bb6d25062fd4,74,600,31,31,8,blue
6631997e0554bb6d25062fd4,75,400,29,26,12,blue
6631997e0554bb6d25062fd4,76,600,16,19,8,blue
6631997e0554bb6d25062fd4,77,500,21,18,6,blue
6631997e0554bb6d25062fd4,78,400,17,15,2,blue
6631997e0554bb6d25062fd4,79,500,18,20,8,blue
6631997e0554bb6d25062fd4,80,600,33,38,12,blue
6631997e0554bb6d25062fd4,81,400,26,29,2,blue
6631997e0554bb6d25062fd4,82,500,15,5,2,blue
6631997e0554bb6d25062fd4,83,400,19,19,12,blue
6631997e0554bb6d25062fd4,84,400,29,29,2,blue
6631997e0554bb6d25062fd4,85,600,29,29,6,blue
6631997e0554bb6d25062fd4,86,400,16,11,2,blue
6631997e0554bb6d25062fd4,87,400,20,17,6,blue
6631997e0554bb6d25062fd4,88,600,31,26,6,blue
6631997e0554bb6d25062fd4,89,500,32,35,12,blue
6631997e0554bb6d25062fd4,90,500,25,25,8,blue
6631997e0554bb6d25062fd4,91,600,22,20,8,blue
6631997e0554bb6d25062fd4,92,400,30,25,2,blue
6631997e0554bb6d25062fd4,93,500,29,28,12,blue
6631997e0554bb6d25062fd4,94,400,19,19,8,blue
6631997e0554bb6d25062fd4,95,500,31,28,6,blue
6631997e0554bb6d25062fd4,96,600,31,27,12,blue
6631997e0554bb6d25062fd4,97,600,15,17,12,blue
6631997e0554bb6d25062fd4,98,500,14,10,2,blue
6631997e0554bb6d25062fd4,99,600,36,30,2,blue
6631997e0554bb6d25062fd4,100,600,22,26,8,blue
6631997e0554bb6d25062fd4,101,400,30,26,2,blue
6631997e0554bb6d25062fd4,102,600,33,30,6,blue
6631997e0554bb6d25062fd4,103,400,21,21,8,blue
6631997e0554bb6d25062fd4,104,500,36,34,12,blue
6631997e0554bb6d25062fd4,105,600,23,21,6,blue
6631997e0554bb6d25062fd4,106,500,19,18,8,blue
6631997e0554bb6d25062fd4,107,400,20,15,6,blue
6631997e0554bb6d25062fd4,108,500,18,17,8,blue
6631997e0554bb6d25062fd4,109,400,23,20,2,blue
6631997e0554bb6d25062fd4,110,500,22,22,12,blue
6631997e0554bb6d25062fd4,111,400,18,21,12,blue
6631997e0554bb6d25062fd4,112,500,20,26,8,blue
6631997e0554bb6d25062fd4,113,500,24,24,6,blue
6631997e0554bb6d25062fd4,114,500,34,39,6,blue
6631997e0554bb6d25062fd4,115,500,16,18,6,blue
6631997e0554bb6d25062fd4,116,400,18,16,6,blue
654e40f499dadc50cf250314,21,500,25,19,8,blue
654e40f499dadc50cf250314,22,400,26,22,2,blue
654e40f499dadc50cf250314,23,600,33,34,12,blue
654e40f499dadc50cf250314,24,600,22,9,12,blue
654e40f499dadc50cf250314,25,400,16,4,6,blue
654e40f499dadc50cf250314,26,500,23,20,6,blue
654e40f499dadc50cf250314,27,600,20,29,12,blue
654e40f499dadc50cf250314,28,600,30,35,6,blue
654e40f499dadc50cf250314,29,500,18,13,12,blue
654e40f499dadc50cf250314,30,500,16,18,2,blue
654e40f499dadc50cf250314,31,500,29,22,12,blue
654e40f499dadc50cf250314,32,400,34,44,6,blue
654e40f499dadc50cf250314,33,600,34,29,12,blue
654e40f499dadc50cf250314,34,400,24,28,12,blue
654e40f499dadc50cf250314,35,400,14,10,2,blue
654e40f499dadc50cf250314,36,400,22,19,2,blue
654e40f499dadc50cf250314,37,600,28,21,8,blue
654e40f499dadc50cf250314,38,500,33,26,6,blue
654e40f499dadc50cf250314,39,500,22,30,6,blue
654e40f499dadc50cf250314,40,500,34,32,12,blue
654e40f499dadc50cf250314,41,500,25,33,8,blue
654e40f499dadc50cf250314,42,400,20,11,2,blue
654e40f499dadc50cf250314,43,500,26,35,8,blue
654e40f499dadc50cf250314,44,400,28,11,12,blue
654e40f499dadc50cf250314,45,500,31,37,2,blue
