"experiment","condition","level","n_trials","item_sd_sd","item_sd","n_items","label","noise_var","slope","slope_se","ci_low","ci_high"
"exp1","average",2,825,0.574571485439341,3.98363636363636,2,"Experiment 1 - array size (2/6/8/12)","array_length",0.902238141971067,0.0603277063687437,0.782151641519428,1.02232464242271
"exp1","average",6,821,0.371352172754419,4.39217645018034,6,"Experiment 1 - array size (2/6/8/12)","array_length",0.803489981040228,0.0598313176028197,0.684329689550345,0.922650272530112
"exp1","average",8,826,0.220892135600159,5.47060040794718,8,"Experiment 1 - array size (2/6/8/12)","array_length",0.752074290074529,0.0603463590757576,0.631953167076906,0.872195413072152
"exp1","average",12,820,0.161760843310174,5.47184761815271,12,"Experiment 1 - array size (2/6/8/12)","array_length",0.707450300220037,0.0596580795206814,0.588611711734982,0.826288888705092
"exp1","experience",2,763,0.479727697615721,3.95740498034076,2,"Experiment 1 - array size (2/6/8/12)","array_length",0.884518431144573,0.0623263552594599,0.760351556148573,1.00868530614057
"exp1","experience",6,760,0.336858229325257,4.37218769676389,6,"Experiment 1 - array size (2/6/8/12)","array_length",0.82492963944554,0.0619294320609467,0.701500559640525,0.948358719250555
"exp1","experience",8,780,0.232276052650045,5.46919029524265,8,"Experiment 1 - array size (2/6/8/12)","array_length",0.758993736822611,0.0623080547958026,0.634860404143517,0.883127069501705
"exp1","experience",12,775,0.130325528340481,5.47052377404804,12,"Experiment 1 - array size (2/6/8/12)","array_length",0.924513056216816,0.062895027464882,0.799286492289852,1.04973962014378
"exp2","average",2,3281,0.494688739914546,3.96936909478817,2,"Experiment 2 - array size (2/10/20)","array_length",0.812400296402035,0.0142145048452847,0.784538080898304,0.840262511905767
"exp2","average",10,3286,0.184850068979114,5.92417067997968,10,"Experiment 2 - array size (2/10/20)","array_length",0.680826586606599,0.014081552399297,0.653224978441409,0.708428194771788
"exp2","average",20,3104,0,5.5,20,"Experiment 2 - array size (2/10/20)","array_length",0.740523895834488,0.0140637974204243,0.712957083537715,0.768090708131261
"exp2","experience",2,3406,0.549166772550304,3.95596007046389,2,"Experiment 2 - array size (2/10/20)","array_length",0.921479236957239,0.0151609437201505,0.891761876845997,0.951196597068481
"exp2","experience",10,3421,0.166542204081112,5.92751775823155,10,"Experiment 2 - array size (2/10/20)","array_length",0.829487812724947,0.0149074591216777,0.800267322749034,0.858708302700861
"exp2","experience",20,3232,0,5.5,20,"Experiment 2 - array size (2/10/20)","array_length",0.871113921164972,0.0151513503955562,0.841415365598522,0.900812476731421
"exp3","average",2,1655,0.359497010842632,3.97885196374622,2,"Experiment 3 - Mondrian frame (2/10/20)","array_length",0.824865018817188,0.0378629546820941,0.749856581374197,0.899873456260179
"exp3","average",10,1662,0.124370625565087,5.93996983286937,10,"Experiment 3 - Mondrian frame (2/10/20)","array_length",0.70099802370448,0.0381511479058753,0.625442646126233,0.776553401282728
"exp3","average",20,1602,0,5.5,20,"Experiment 3 - Mondrian frame (2/10/20)","array_length",0.741202165080716,0.0380568566300933,0.665825973340782,0.81657835682065
"exp3","experience",2,1778,0.501114675619646,3.99690663667042,2,"Experiment 3 - Mondrian frame (2/10/20)","array_length",0.879958018181949,0.0420803563125464,0.796630000232068,0.963286036131831
"exp3","experience",10,1760,0.136906200381275,5.93694473584261,10,"Experiment 3 - Mondrian frame (2/10/20)","array_length",0.802071991049279,0.0416232849410659,0.719611158107034,0.884532823991525
"exp3","experience",20,1705,0,5.5,20,"Experiment 3 - Mondrian frame (2/10/20)","array_length",0.88713576948655,0.0417904212999016,0.804357977552633,0.969913561420467
"exp4","average",3,3960,0.0926310207055815,2.85817628231666,10,"Experiment 4 - stimulus variance (SD 3/5/7)","variance_level",1.07517300226509,0.0326420889063633,1.01058562648169,1.13976037804848
"exp4","average",5,3960,0.0906248830494533,4.7474399068525,10,"Experiment 4 - stimulus variance (SD 3/5/7)","variance_level",0.91321486819604,0.0325850714895112,0.848736003936829,0.977693732455251
"exp4","average",7,3960,0.0908205627213514,6.6471064313978,10,"Experiment 4 - stimulus variance (SD 3/5/7)","variance_level",0.776256323381863,0.0326085744649068,0.71173273745374,0.840779909309986
"exp4","experience",3,4320,0.0903553535186744,2.85940331834514,10,"Experiment 4 - stimulus variance (SD 3/5/7)","variance_level",1.09696773714045,0.0328366306618742,1.03198549240759,1.16194998187331
"exp4","experience",5,4320,0.0908060387925144,4.74684511854574,10,"Experiment 4 - stimulus variance (SD 3/5/7)","variance_level",0.964824608897714,0.0329572722201045,0.899612767910122,1.03003644988531
"exp4","experience",7,4320,0.091291200895431,6.64434466249104,10,"Experiment 4 - stimulus variance (SD 3/5/7)","variance_level",0.859904678918485,0.0329896027635668,0.794631324065736,0.925178033771234
"exp2_batch2","average",2,2056,0.47511267836638,3.97665369649805,2,"Partial snapshot of Experiment 2 (subset, not independent)","array_length",0.831150452667154,0.0171704587256229,0.797492625326215,0.864808280008094
"exp2_batch2","average",10,2068,0.197193884341858,5.91938280198376,10,"Partial snapshot of Experiment 2 (subset, not independent)","array_length",0.688348186949674,0.0172426114434313,0.654548934290255,0.722147439609092
"exp2_batch2","average",20,1952,0,5.5,20,"Partial snapshot of Experiment 2 (subset, not independent)","array_length",0.758885043086705,0.0170849066443699,0.725394912003035,0.792375174170375
"exp2_batch2","experience",2,1957,0.53375793792143,3.960909555442,2,"Partial snapshot of Experiment 2 (subset, not independent)","array_length",0.972190515642281,0.019338710685455,0.934282430944382,1.01009860034018
"exp2_batch2","experience",10,1969,0.169019198299941,5.92770861261546,10,"Partial snapshot of Experiment 2 (subset, not independent)","array_length",0.821389352990406,0.0188429713433564,0.784453046412288,0.858325659568524
"exp2_batch2","experience",20,1856,0,5.5,20,"Partial snapshot of Experiment 2 (subset, not independent)","array_length",0.915969914278033,0.019382852338959,0.877975307605806,0.95396452095026
"short_exposure","experience",2,1382,0.526499558828589,3.98227206946454,2,"Pilot - short exposure, experience only (2/10/20)","array_length",0.916633339282437,0.037135474449095,0.842288734212956,0.990977944351917
"short_exposure","experience",10,1389,0.182369667244844,5.91973775824774,10,"Pilot - short exposure, experience only (2/10/20)","array_length",0.835284191881934,0.0371473754624356,0.760917715988221,0.909650667775646
"short_exposure","experience",20,1312,0,5.5,20,"Pilot - short exposure, experience only (2/10/20)","array_length",0.858280948328097,0.0374028659004424,0.783446661661881,0.933115234994312
