"term","b","SE","t","p"
"(Intercept)",1.10039683131948,0.0841645190000153,13.0743553743744,3.91910169004759e-12
"item_sd",-0.0585014156960964,0.013106887516953,-4.46341022004103,0.000177339593241015
"experimentexp2",0.00480322977280563,0.0577861869042757,0.083120725386541,0.934474742209743
"experimentexp3",0.00174876519479372,0.0696319947843479,0.0251143917420389,0.980180349995332
"experimentexp4",0.124987995126833,0.065354458166201,1.91246318359767,0.0683500838787427
"experimentshort_exposure",0.0699674462005106,0.0784579690934215,0.891782530302294,0.381744619140604
