"level","band","n_trials","p","inward_skew"
"2 squares","14-17",511,NA,0
"2 squares","32+",723,NA,0
"10 squares","14-17",541,NA,-0.125669583629514
"10 squares","32+",687,NA,0.125669583629516
"20 squares","14-17",546,NA,0.398497370398196
"20 squares","32+",697,NA,-0.398497370398196
