"experiment","version","level","report","mean_objective","n"
"exp2_batch2","raw","20 squares",24,26.5611510791367,139
"exp2_batch2","raw","20 squares",25,27.0652173913043,138
"exp2_batch2","raw","20 squares",26,27.5461538461538,130
"exp2_batch2","raw","20 squares",27,28.9758064516129,124
"exp2_batch2","raw","20 squares",28,29.1775700934579,107
"exp2_batch2","raw","20 squares",29,29.3174603174603,126
"exp2_batch2","raw","20 squares",30,30.3301886792453,106
"exp2_batch2","raw","20 squares",31,30.5,80
"exp2_batch2","raw","20 squares",32,30.6470588235294,68
"exp2_batch2","raw","20 squares",33,30.2686567164179,67
"exp2_batch2","raw","20 squares",34,31.5,42
"exp2_batch2","raw","20 squares",35,31.7291666666667,48
"exp2_batch2","raw","20 squares",36,32.1627906976744,43
"exp2_batch2","raw","20 squares",37,31.7666666666667,30
"exp2_batch2","raw","20 squares",38,31.3,30
"exp2_batch2","raw","20 squares",39,33.1153846153846,26
"exp2_batch2","raw","20 squares",40,32.8695652173913,23
"exp2_batch2","raw","20 squares",41,34.6363636363636,11
"exp2_batch2","raw","20 squares",42,33.125,16
"exp2_batch2","raw","20 squares",43,34.5,4
"exp2_batch2","raw","20 squares",44,33.5,6
"exp2_batch2","raw","20 squares",45,33,1
"exp2_batch2","raw","20 squares",46,30,1
"exp2_batch2","raw","20 squares",48,31,1
"exp2_batch2","shift_removed","2 squares",1,16,1
"exp2_batch2","shift_removed","2 squares",3,14,1
"exp2_batch2","shift_removed","2 squares",5,14,1
"exp2_batch2","shift_removed","2 squares",6,18.5,2
"exp2_batch2","shift_removed","2 squares",7,15.4285714285714,7
"exp2_batch2","shift_removed","2 squares",8,17,12
"exp2_batch2","shift_removed","2 squares",9,15.1428571428571,7
"exp2_batch2","shift_removed","2 squares",10,15.9230769230769,13
"exp2_batch2","shift_removed","2 squares",11,17.6470588235294,17
"exp2_batch2","shift_removed","2 squares",12,16.7659574468085,47
"exp2_batch2","shift_removed","2 squares",13,16.9591836734694,49
"exp2_batch2","shift_removed","2 squares",14,18.3666666666667,60
"exp2_batch2","shift_removed","2 squares",15,17.6136363636364,88
"exp2_batch2","shift_removed","2 squares",16,18.0841121495327,107
"exp2_batch2","shift_removed","2 squares",17,18.7238805970149,134
"exp2_batch2","shift_removed","2 squares",18,18.6260162601626,123
"exp2_batch2","shift_removed","2 squares",19,19.8308823529412,136
"exp2_batch2","shift_removed","2 squares",20,20.8345323741007,139
"exp2_batch2","shift_removed","2 squares",21,21.5185185185185,162
"exp2_batch2","shift_removed","2 squares",22,22.6277372262774,137
"exp2_batch2","shift_removed","2 squares",23,23.6054421768707,147
"exp2_batch2","shift_removed","2 squares",24,24.0933333333333,150
"exp2_batch2","shift_removed","2 squares",25,24.9929078014184,141
"exp2_batch2","shift_removed","2 squares",26,26.2108843537415,147
"exp2_batch2","shift_removed","2 squares",27,27.1777777777778,135
"exp2_batch2","shift_removed","2 squares",28,27.9597315436242,149
"exp2_batch2","shift_removed","2 squares",29,28.437908496732,153
"exp2_batch2","shift_removed","2 squares",30,29.3858267716535,127
