"experiment","condition","array_length","n","mean_prop","se"
"exp1","average","2",23,0.143093028584522,0.0161705675622928
"exp1","average","6",23,0.114077242857961,0.0199941969815176
"exp1","average","8",23,0.11146776978535,0.0206955837155202
"exp1","average","12",23,0.102188306152501,0.0141287105124983
"exp1","experience","2",21,0.143468849990589,0.0204779708632406
"exp1","experience","6",21,0.129289792333271,0.0201347378294517
"exp1","experience","8",21,0.11549904546799,0.018302165633381
"exp1","experience","12",21,0.161007815510921,0.0263340236601739
