"experiment","condition","1","slope","SE","df","ci_low","ci_high","t.ratio","p.value"
"exp1","experience","overall",0.848469859418738,0.0579453298801033,20.0407284587599,0.727613765109667,0.969325953727809,14.6425926157351,3.63159675451366e-12
"exp1","average","overall",0.791471599989854,0.0477218379486667,21.8221312484462,0.692455773805666,0.890487426174042,16.5851030473978,7.46170505128937e-14
