"experiment","model","condition","array_length","slope","SE","df","ci_low","ci_high","t.ratio","p.value"
"exp1","combined","average","2",0.585004144890773,0.0258004145094813,3808.81328857547,0.534420187182878,0.635588102598667,22.6742149695227,7.11046059084407e-107
"exp1","combined","experience","2",0.684008255571653,0.0282945126119424,3745.09397504442,0.628534101480169,0.739482409663138,24.1745904922551,4.21411792758487e-120
"exp1","combined","average","6",0.594764858151875,0.0265032589649918,3881.5394205177,0.542803222207483,0.646726494096267,22.4411970972136,5.67892701880183e-105
"exp1","combined","experience","6",0.609961504125983,0.0270892808455369,3888.30013013279,0.556850956938395,0.663072051313572,22.5167108571093,1.2303948408185e-105
"exp1","combined","average","8",0.5861763259999,0.0280051299778451,3736.38940979568,0.531269493458826,0.641083158540974,20.9310339378401,4.43349174413061e-92
"exp1","combined","experience","8",0.590718677566871,0.0282753383624182,3745.93194689491,0.535282120472546,0.646155234661195,20.8916572454537,9.02385119442431e-92
"exp1","combined","average","12",0.605866723733503,0.028552346540929,3741.87182362149,0.549887045470528,0.661846401996478,21.2195072256149,1.88014329730412e-94
"exp1","combined","experience","12",0.599893440879898,0.0263532265401875,3886.2065381857,0.548225974162261,0.651560907597536,22.7635671087594,8.8065124579727e-108
"exp1","experience","experience","2",0.678577328983982,0.027823337718603,1911.75089287091,0.624010041946308,0.733144616021657,24.3887823900537,1.30768731021398e-114
"exp1","experience","experience","6",0.609188820570738,0.0267626640612839,1903.89952425397,0.556701595577403,0.661676045564074,22.7626375003533,1.20873389102344e-101
"exp1","experience","experience","8",0.588629942492869,0.0279590091248261,1909.00950817789,0.533796526043652,0.643463358942085,21.0533191596621,1.18176453354867e-88
"exp1","experience","experience","12",0.598536339472388,0.0260553537328254,1899.68394918791,0.547436226979654,0.649636451965123,22.9717218814163,2.98988894709835e-103
"exp1","average","average","2",0.58059116157351,0.0262573295181968,2094.52897512122,0.529097985339048,0.632084337807971,22.1115845452276,1.51918546332926e-97
"exp1","average","average","6",0.594153399306593,0.0270528915411024,2089.68514643249,0.541099977487302,0.647206821125884,21.9626577958912,2.30287486410321e-96
"exp1","average","average","8",0.582984889571167,0.0286258040547465,2093.50135415478,0.526846888546637,0.639122890595697,20.3657122942718,2.89298263286996e-84
"exp1","average","average","12",0.604253164812567,0.0290192495786716,2096.49461018677,0.547343625643663,0.66116270398147,20.8224945022933,1.11015085454558e-87
