"experiment","condition","array_length","band","n","dist","se","inward"
"exp1","average","2","extreme",23,8.2178929572,0.40417342602287,1.27952373713243
"exp1","average","2","middle",23,2.80344643218196,0.378507580933008,-0.0702814094118442
"exp1","average","6","extreme",23,8.20418587266939,0.467438508841211,1.58887907701846
"exp1","average","6","middle",23,2.70983767964819,0.614135789732941,0.410788607527738
"exp1","average","8","extreme",23,8.49748472848657,0.712663262076615,1.91328701846605
"exp1","average","8","middle",23,2.95600306778887,0.432339644952117,0.588367802274452
"exp1","average","12","extreme",23,8.09640619050662,0.558956992707612,2.34056358413775
"exp1","average","12","middle",23,2.58690141175916,0.401377694772077,0.908609868392484
"exp1","experience","2","extreme",21,8.45171460536423,0.539496806433825,0.926048818905962
"exp1","experience","2","middle",21,2.89017328525569,0.418279562282603,-0.685773882202454
"exp1","experience","6","extreme",21,8.34276333029071,0.559270519630111,1.79210976542909
"exp1","experience","6","middle",21,2.99352755281249,0.488153410855608,0.0152937243273377
"exp1","experience","8","extreme",21,8.57247838694119,0.579586905547333,1.79643217815487
"exp1","experience","8","middle",21,2.67368499550688,0.400392505698617,0.617894539323111
"exp1","experience","12","extreme",21,7.97648608215525,0.666399483962987,1.0112889898254
"exp1","experience","12","middle",21,2.40968102515133,0.512120819447791,-0.295323811990481
