"experiment","tail_prop","condition","array_length","n_trials","mean_abs_resp","mean_abs_obj","ratio"
"exp1",0.1,"average","2",108,13.2401785497885,7.3452671411727,0.554771003544362
"exp1",0.1,"average","6",108,13.4018335655616,7.42476567162509,0.55401118326856
"exp1",0.1,"average","8",108,12.877345373023,7.22324893171305,0.560926862056925
"exp1",0.1,"average","12",106,12.4934041984765,7.60029950227025,0.608344961991788
"exp1",0.1,"experience","2",96,13.0026580532042,8.09672734131088,0.622697859789953
"exp1",0.1,"experience","6",100,13.3507665929163,7.97049378161557,0.597006450988707
"exp1",0.1,"experience","8",96,13.2534547638645,7.66105984287534,0.578042478687382
"exp1",0.1,"experience","12",97,14.2073890601087,7.76093884710306,0.54626073899068
