"participant_id","condition","array_length","band","n_trials","dist","inward"
"average.6422f34be2b8257efb345837","average","12","extreme",15,8.03368421052631,3.06666666666666
"average.6422f34be2b8257efb345837","average","12","middle",9,2.05536062378168,3.2962962962963
"average.661415341b1fdb1844c6f6a6","average","2","extreme",12,8.6687134502924,2.66666666666667
"average.661415341b1fdb1844c6f6a6","average","2","middle",12,2.5406432748538,-1.16666666666667
"average.661415341b1fdb1844c6f6a6","average","6","extreme",13,9.17354925775978,2.53846153846154
"average.661415341b1fdb1844c6f6a6","average","6","middle",11,2.20510366826156,-0.272727272727272
"average.661415341b1fdb1844c6f6a6","average","8","extreme",12,8.25,1.33333333333333
"average.661415341b1fdb1844c6f6a6","average","8","middle",12,3.16666666666667,0.416666666666667
"average.661415341b1fdb1844c6f6a6","average","12","extreme",12,8.01491228070175,-3.27777777777778
"average.661415341b1fdb1844c6f6a6","average","12","middle",11,3.5665071770335,1.00000000000001
"average.66ba25f31c96638d878c9235","average","2","extreme",12,8,-1.58333333333333
"average.66ba25f31c96638d878c9235","average","2","middle",11,2.85276679841897,-1.09090909090909
"average.66ba25f31c96638d878c9235","average","6","extreme",12,8.98550724637681,-0.666666666666667
"average.66ba25f31c96638d878c9235","average","6","middle",12,2.55434782608696,3.25
"average.66ba25f31c96638d878c9235","average","8","extreme",8,8.94836956521739,2
"average.66ba25f31c96638d878c9235","average","8","middle",16,2.94836956521739,-1
"average.66ba25f31c96638d878c9235","average","12","extreme",13,7.59225195094759,0.128205128205116
"average.66ba25f31c96638d878c9235","average","12","middle",8,2.48007246376813,-1.16666666666665
"average.66df49caa6df07d77078a5fd","average","2","extreme",15,7.99426523297491,-0.0666666666666668
"average.66df49caa6df07d77078a5fd","average","2","middle",7,3.22427035330262,1.14285714285714
"average.66df49caa6df07d77078a5fd","average","6","extreme",11,7.34310850439882,-0.363636363636364
"average.66df49caa6df07d77078a5fd","average","6","middle",13,2.09677419354839,0
"average.66df49caa6df07d77078a5fd","average","8","extreme",13,8.23738626964433,3.61538461538462
"average.66df49caa6df07d77078a5fd","average","8","middle",10,2.91720430107527,2.4
"average.66df49caa6df07d77078a5fd","average","12","extreme",14,8.321044546851,0.9047619047619
"average.66df49caa6df07d77078a5fd","average","12","middle",10,2.64946236559139,-0.73333333333334
"average.6705565ffd67124adcd513ec","average","2","extreme",9,8.93801169590643,2.88888888888889
"average.6705565ffd67124adcd513ec","average","2","middle",14,2.62631578947369,2.92857142857143
"average.6705565ffd67124adcd513ec","average","6","extreme",10,8.02315789473684,2.8
"average.6705565ffd67124adcd513ec","average","6","middle",14,2.48345864661654,2.42857142857143
"average.6705565ffd67124adcd513ec","average","8","extreme",11,8.42488038277512,3.90909090909091
"average.6705565ffd67124adcd513ec","average","8","middle",13,3.33279352226721,2.15384615384615
"average.6705565ffd67124adcd513ec","average","12","extreme",13,8.59028340080972,4.46153846153847
"average.6705565ffd67124adcd513ec","average","12","middle",11,2.89792663476873,0.424242424242409
"average.675c611268e0e1825a5fe25d","average","2","extreme",11,7.97678916827853,0.181818181818182
"average.675c611268e0e1825a5fe25d","average","2","middle",13,1.71194762684125,2.69230769230769
"average.675c611268e0e1825a5fe25d","average","6","extreme",11,8.2495164410058,0.363636363636364
"average.675c611268e0e1825a5fe25d","average","6","middle",12,2.85992907801418,-2.5
"average.675c611268e0e1825a5fe25d","average","8","extreme",9,9.51063829787235,7
"average.675c611268e0e1825a5fe25d","average","8","middle",14,2.5,1.85714285714286
"average.675c611268e0e1825a5fe25d","average","12","extreme",14,8.64285714285714,2.78571428571429
"average.675c611268e0e1825a5fe25d","average","12","middle",10,2.78368794326241,0.36666666666666
"average.678d702b1b04e7a307fdfde5","average","2","extreme",13,8.72658862876254,1.46153846153846
"average.678d702b1b04e7a307fdfde5","average","2","middle",10,3.3036231884058,-4.1
"average.678d702b1b04e7a307fdfde5","average","6","extreme",9,8.60104669887279,2
"average.678d702b1b04e7a307fdfde5","average","6","middle",13,3.11677814938684,-1.15384615384615
"average.678d702b1b04e7a307fdfde5","average","8","extreme",8,8,4.125
"average.678d702b1b04e7a307fdfde5","average","8","middle",16,2.75,1.9375
"average.678d702b1b04e7a307fdfde5","average","12","extreme",14,8.14285714285714,3.42857142857143
"average.678d702b1b04e7a307fdfde5","average","12","middle",9,2.21376811594204,1.37037037037039
"average.67c758c1c0984b56a597d24d","average","2","extreme",9,8.37882447665056,-2.11111111111111
"average.67c758c1c0984b56a597d24d","average","2","middle",14,3.03260869565217,-1.57142857142857
"average.67c758c1c0984b56a597d24d","average","6","extreme",16,8.57382246376812,-0.0625
"average.67c758c1c0984b56a597d24d","average","6","middle",8,3.3070652173913,-0.375
"average.67c758c1c0984b56a597d24d","average","8","extreme",9,8.26771336553945,1.77777777777778
"average.67c758c1c0984b56a597d24d","average","8","middle",13,3.27619843924192,0.923076923076923
"average.67c758c1c0984b56a597d24d","average","12","extreme",15,8.48768115942027,-3.33333333333335
