"comparison","model","frame","condition","array_length","slope","SE","df","ci_low","ci_high","t.ratio","p.value"
"compare_exp2_exp3","both conditions","no frame","average","2",0.81118535675863,0.0276489032424082,242.155931524372,0.756722304962958,0.865648408554301,29.3387896672308,1.09420137841295e-81
"compare_exp2_exp3","both conditions","Mondrian frame","average","2",0.825666291081794,0.037719397196931,239.913097475516,0.751362803349654,0.899969778813934,21.8897000599197,4.1040383720024e-59
"compare_exp2_exp3","both conditions","no frame","experience","2",0.918662948905333,0.0293078045724891,244.861647710389,0.860935382506047,0.976390515304618,31.3453348794222,1.11096631620553e-87
"compare_exp2_exp3","both conditions","Mondrian frame","experience","2",0.882431257148313,0.0419547716939783,250.353967768944,0.799801969962554,0.965060544334072,21.0329176281745,2.941923835751e-57
"compare_exp2_exp3","both conditions","no frame","average","10",0.678558478176408,0.0269921416441222,243.547618134751,0.625390647017448,0.731726309335367,25.1391122321029,1.29007466810114e-69
"compare_exp2_exp3","both conditions","Mondrian frame","average","10",0.701179079250674,0.0371882122325571,250.69917681701,0.627937948565345,0.774420209936003,18.8548746270953,5.61292567577399e-50
"compare_exp2_exp3","both conditions","no frame","experience","10",0.829479574139496,0.0285398545466764,244.054819314412,0.773263715442017,0.885695432836975,29.0639033490131,3.25113872849035e-81
"compare_exp2_exp3","both conditions","Mondrian frame","experience","10",0.800689402127247,0.0405264116777002,241.884654752607,0.720859671755606,0.880519132498888,19.7572242145443,2.22778967440014e-52
"compare_exp2_exp3","both conditions","no frame","average","20",0.738000273784854,0.0268133724515933,238.58889186421,0.685179091601921,0.790821455967788,27.5235901458192,5.36050549538007e-76
"compare_exp2_exp3","both conditions","Mondrian frame","average","20",0.74189226800449,0.0368784506249505,244.446146292822,0.669252191034822,0.814532344974158,20.1172298573345,9.26101187483901e-54
"compare_exp2_exp3","both conditions","no frame","experience","20",0.874871813346252,0.0284821331897129,243.60117722209,0.818769129615722,0.930974497076782,30.7165129633702,9.59232810380561e-86
"compare_exp2_exp3","both conditions","Mondrian frame","experience","20",0.883260042438249,0.0404939162065229,242.317444298116,0.803495038614859,0.96302504626164,21.8121664976422,4.32463525371087e-59
