"comparison","model","effect","Sum Sq","Mean Sq","df1","df2","F","p"
"compare_exp2_exp3","both conditions","meanVal_c",64274.7032128855,64274.7032128855,1,243.001903085584,3019.05887270507,4.85930888425443e-139
"compare_exp2_exp3","both conditions","array_length",17113.5710201361,8556.78551006804,2,22065.9701788087,401.922341522786,3.5610871848102e-172
"compare_exp2_exp3","both conditions","frame",65.0931820396928,65.0931820396928,1,243.067292729205,3.05750379178948,0.0816274498117848
"compare_exp2_exp3","both conditions","condition",137.514850008898,137.514850008898,1,243.067292739165,6.45923524023118,0.011660113347636
"compare_exp2_exp3","both conditions","meanVal_c:array_length",1202.21497817592,601.107489087961,2,244.95298043661,28.2347301141121,9.24152082491716e-12
"compare_exp2_exp3","both conditions","meanVal_c:frame",0.167587217280405,0.167587217280405,1,243.001905659184,0.00787176991866573,0.92937513322144
"compare_exp2_exp3","both conditions","array_length:frame",928.419109390654,464.209554695327,2,22065.970173404,21.8044721304358,3.46563725219358e-10
"compare_exp2_exp3","both conditions","meanVal_c:condition",328.942483916731,328.942483916731,1,243.001906514584,15.4508177406778,0.000110464951972525
"compare_exp2_exp3","both conditions","array_length:condition",680.152548576045,340.076274288023,2,22065.9701740525,15.9737850501643,1.16866613221264e-07
"compare_exp2_exp3","both conditions","frame:condition",28.5390228315966,28.5390228315966,1,243.06729276049,1.34051167552947,0.248080155224241
"compare_exp2_exp3","both conditions","meanVal_c:array_length:frame",5.90237245710827,2.95118622855414,2,244.952980462233,0.138620709594116,0.870626403623832
"compare_exp2_exp3","both conditions","meanVal_c:array_length:condition",67.1617595875854,33.5808797937927,2,244.952980483203,1.57733366358614,0.208615369547032
"compare_exp2_exp3","both conditions","meanVal_c:frame:condition",6.52985575788005,6.52985575788005,1,243.001906629318,0.306715052390314,0.580212233397978
"compare_exp2_exp3","both conditions","array_length:frame:condition",23.513739271265,11.7568696356325,2,22065.9701736742,0.552234079885681,0.575670252876733
"compare_exp2_exp3","both conditions","meanVal_c:array_length:frame:condition",26.8130179081013,13.4065089540506,2,244.952980419355,0.629719590857827,0.533601352536655
