"comparison","condition","frame","array_length","n","mean_z","se_z","mean_r","ci_low_r","ci_high_r"
"compare_exp2_exp3","average","no frame","2",86,1.13243478780262,0.0341527860649333,0.811850918880066,0.787758035570932,0.833463640694231
"compare_exp2_exp3","average","no frame","10",86,0.957308795965916,0.0315786207008367,0.743074044216817,0.714057866264803,0.76954167035245
"compare_exp2_exp3","average","no frame","20",86,1.0177871121497,0.0298768018617198,0.768963677818349,0.743932576587854,0.791839999725322
"compare_exp2_exp3","average","Mondrian frame","2",46,1.13785609380077,0.0446674563040243,0.813690915327565,0.781926025807645,0.841241126514929
"compare_exp2_exp3","average","Mondrian frame","10",46,0.920733865481704,0.0437763011244162,0.72624440184626,0.683115544119201,0.764325230501419
"compare_exp2_exp3","average","Mondrian frame","20",46,0.984510582741349,0.0490274229356967,0.755011875689253,0.71061089499289,0.793423097141101
"compare_exp2_exp3","experience","no frame","2",77,1.12484140729424,0.0371753301208706,0.80924634365492,0.782574080832038,0.832953262116757
"compare_exp2_exp3","experience","no frame","10",77,1.02953299385897,0.0367731576380898,0.773720971921335,0.743140679579429,0.801076011612824
"compare_exp2_exp3","experience","no frame","20",77,1.04366109849151,0.02980313552161,0.779329686265696,0.755328307246975,0.801243214832846
"compare_exp2_exp3","experience","Mondrian frame","2",38,1.09754783221901,0.0490857320552244,0.79961646922173,0.762156262583104,0.831740080512115
"compare_exp2_exp3","experience","Mondrian frame","10",38,1.09875291175478,0.0596984054620227,0.80005061861635,0.753819893073913,0.838399526432281
"compare_exp2_exp3","experience","Mondrian frame","20",38,1.10505507725894,0.0499659005347624,0.802307478687451,0.764568990528833,0.834563812983713
