"experiment","condition","array_length","n","mean_prop","se"
"exp3","average","2",46,0.145128537401806,0.0125301510136455
"exp3","average","10",46,0.0872692297284537,0.00998204722022574
"exp3","average","20",46,0.112664306829019,0.0112352496437441
"exp3","experience","2",38,0.146963214720152,0.0152701288778101
"exp3","experience","10",38,0.121241124223239,0.0129428672097604
"exp3","experience","20",38,0.137768015701099,0.0157545099738678
