"experiment","model","term","b","SE","df","t","p"
"exp3","combined","(Intercept)",24.8499146616625,0.0733959063438428,83.7188281055836,338.573578548733,4.31295028584614e-133
"exp3","combined","resp_c",0.694278319972243,0.00712633160761559,7608.54176683377,97.4243633611295,0
"exp3","combined","array_length1",0.945242546270285,0.107983208613105,82.5573941774607,8.75360677285493,2.11542059465988e-13
"exp3","combined","array_length2",-0.80401560882067,0.0847344132368067,82.8222132447285,-9.48865494086438,7.01639740377747e-15
"exp3","combined","condition1",0.0388996286005567,0.0733959063438428,83.7188281077404,0.529997251049955,0.597516699346328
"exp3","combined","resp_c:array_length1",6.64868576889618e-05,0.00994550769518758,7577.41009530482,0.0066851144985925,0.994666266066794
"exp3","combined","resp_c:array_length2",0.0113629937728957,0.0102967176323221,7586.39006825698,1.10355495592367,0.269821242753821
"exp3","combined","resp_c:condition1",0.0201912358359321,0.00712633160761559,7608.54176733058,2.83332813398056,0.00461872796497338
"exp3","combined","array_length1:condition1",-0.09699527052051,0.107983208613105,82.5573941736165,-0.898244011881847,0.371667723124361
"exp3","combined","array_length2:condition1",0.0152118421254142,0.0847344132368067,82.8222132525492,0.17952377958766,0.857964929481459
"exp3","combined","resp_c:array_length1:condition1",0.0185011740317882,0.00994550769518759,7577.41009014605,1.86025435792891,0.0628882629916655
"exp3","combined","resp_c:array_length2:condition1",-0.02417922793675,0.0102967176323221,7586.39007188069,-2.34824618875144,0.0188875849302577
"exp3","experience","(Intercept)",24.8101230831065,0.0973789452908513,38.197028703008,254.779131248584,2.56702520736492e-63
"exp3","experience","resp_c",0.67428961976596,0.00985744976554362,3462.0886292905,68.4040635056459,0
"exp3","experience","array_length1",1.0416003840093,0.158325485288068,37.7942254413665,6.57885483258834,9.41560536910305e-08
"exp3","experience","array_length2",-0.819112611953621,0.135270944971987,37.3437126054499,-6.05534774761311,5.10271745712796e-07
"exp3","experience","resp_c:array_length1",-0.0192361586724125,0.0138596502814891,3412.22350169216,-1.38792525653437,0.165250421797245
"exp3","experience","resp_c:array_length2",0.0358053518635742,0.0142345859255458,3452.43224910247,2.51537712799337,0.0119355613702023
"exp3","average","(Intercept)",24.8887980924057,0.106407392140109,45.6511496075126,233.901025030611,6.17505339465944e-72
"exp3","average","resp_c",0.714597121845401,0.0102460408747064,4132.10572923826,69.7437313186473,0
"exp3","average","array_length1",0.848700651033777,0.146209518244047,44.5943886979511,5.80468810257046,6.2585806289191e-07
"exp3","average","array_length2",-0.788323726603734,0.106095311424946,45.4383736416501,-7.43033519592814,2.22411313031517e-09
"exp3","average","resp_c:array_length1",0.0188451645476667,0.0141780518837826,4143.66763024023,1.32917869832474,0.183862198791405
"exp3","average","resp_c:array_length2",-0.0127377000473963,0.0148145342514713,4130.61255728364,-0.859811036322743,0.389943112500003
