"experiment","contrast","estimate","SE","df","t.ratio","p.value"
"exp3","X2 - X10",-0.0182029375352454,0.0218553936838877,74,-0.832880788995577,0.683909669564755
"exp3","X2 - X20",-0.000486761988056195,0.018269410175061,74,-0.0266435524404974,0.999608702507299
"exp3","X10 - X20",0.0177161755471892,0.0211867122615587,74,0.836192766885004,0.681855836563393
