"participant_id","condition","array_length","n_trials","r","z"
"average.6544fd4daeb0e81889e217f7","average","20",29,0.765274323234557,1.00882194092594
"average.656c1adbdb298e7230d7b396","average","2",31,0.924893776626115,1.62186132053057
"average.656c1adbdb298e7230d7b396","average","10",31,0.807138071080338,1.11876257899655
"average.656c1adbdb298e7230d7b396","average","20",29,0.449911194706509,0.484588929573254
"average.65fa95fafeda35caf378b6f9","average","2",31,0.901625667175081,1.4808422444355
"average.65fa95fafeda35caf378b6f9","average","10",30,0.822160780009969,1.16344921699752
"average.65fa95fafeda35caf378b6f9","average","20",31,0.898464454430973,1.46419585834767
"average.6631a9caa7ecf621ae2ad49f","average","2",28,0.487480266761499,0.532749828568895
"average.6631a9caa7ecf621ae2ad49f","average","10",31,0.834857955410349,1.20395818456837
"average.6631a9caa7ecf621ae2ad49f","average","20",30,0.766159189372935,1.01096096546184
"average.66450101a6a8f52f8b5db596","average","2",30,0.932926190009924,1.68049831982136
"average.66450101a6a8f52f8b5db596","average","10",32,0.735741077887205,0.94113017366264
"average.66450101a6a8f52f8b5db596","average","20",31,0.94885490402159,1.8201653189316
"average.66463e4efb99fba5a67a010a","average","2",32,0.839872271011024,1.22073981366334
"average.66463e4efb99fba5a67a010a","average","10",30,0.681299526901188,0.831535297704767
"average.66463e4efb99fba5a67a010a","average","20",30,0.650233270882813,0.775702744574862
"average.66707f3a4435f4e05d0940a1","average","2",32,0.844630780349053,1.23711503541281
"average.66707f3a4435f4e05d0940a1","average","10",32,0.68107876423068,0.831123412703896
"average.66707f3a4435f4e05d0940a1","average","20",30,0.81181205682736,1.13232079931701
"average.66a02d45a7db35d93c9f6a81","average","2",31,0.576556510065481,0.657289127116053
"average.66a02d45a7db35d93c9f6a81","average","10",32,0.603820829630866,0.6991387603027
"average.66a02d45a7db35d93c9f6a81","average","20",31,0.549057423736839,0.617030952590855
"average.66c3366a3b5834b89124e85a","average","2",29,0.734022455281089,0.93739361018871
"average.66c3366a3b5834b89124e85a","average","10",27,0.762084759968391,1.00116921691419
"average.66c3366a3b5834b89124e85a","average","20",30,0.837242912628664,1.21188124103341
