"experiment","term","b","SE","df","t","p"
"exp3","(Intercept)",22.1359236740047,0.312677418633275,82.0297433371585,70.7947627646464,2.53551038138863e-75
"exp3","meanVal_c",0.805993219293442,0.0259085467888238,81.711163990271,31.1091635460281,4.62547887428469e-47
"exp3","array_length1",-1.31000624124622,0.0732522677680876,7547.27372508954,-17.8834905889006,4.36943872395063e-70
"exp3","array_length2",1.19718839689178,0.0732962345137439,7553.5237511805,16.3335593545026,5.79018260798522e-59
"exp3","condition1",-0.253322080108668,0.312677418633275,82.0297433362475,-0.810170690342617,0.420186213116218
"exp3","meanVal_c:array_length1",0.0471871314692415,0.0112822915697455,7549.35979923784,4.18240666601615,2.91703290820709e-05
"exp3","meanVal_c:array_length2",-0.0549052833410365,0.0112472189507406,7554.61527675295,-4.88167640209593,1.07345327736755e-06
"exp3","meanVal_c:condition1",-0.0498936299821442,0.0259085467888238,81.7111639866004,-1.92575949507391,0.0576126038421021
"exp3","array_length1:condition1",0.271859999530455,0.0732522677680876,7547.273724635,3.71128441226076,0.000207693588587487
"exp3","array_length2:condition1",-0.0715052518714813,0.0732962345137439,7553.52375102109,-0.975565148003247,0.329311243756695
"exp3","meanVal_c:array_length1:condition1",0.0226088027822736,0.0112822915697455,7549.35979926572,2.00391938486159,0.0451143592132823
"exp3","meanVal_c:array_length2:condition1",-0.000337957838091245,0.0112472189507406,7554.61527659121,-0.0300481247472283,0.976029466213704
