"experiment","condition","term","b","SE","df","t","p"
"exp3","experience","(Intercept)",22.3892680492872,0.509122293008374,37.0038936942899,43.9762083820576,1.50197549307142e-33
"exp3","experience","meanVal_c",0.855992551312461,0.0398588662475015,36.7941429830632,21.4755870374541,2.07291189803335e-22
"exp3","experience","array_length1",-1.58287532499326,0.111265715011204,3433.18599655229,-14.2260832533532,1.14580030292922e-44
"exp3","experience","array_length2",1.2705147232915,0.111146400291105,3435.98251711186,11.4310019934418,1.00170236412923e-29
"exp3","experience","meanVal_c:array_length1",0.0245385866261494,0.0173377264686201,3434.51312916877,1.41532897468202,0.157062728633939
"exp3","experience","meanVal_c:array_length2",-0.0546456864732389,0.0169643366909776,3434.66786924038,-3.22120973361145,0.00128842008761914
"exp3","average","(Intercept)",21.8825620480053,0.38251458743377,45.0345102502202,57.2071308307794,1.06989962681541e-43
"exp3","average","meanVal_c",0.756069818132468,0.0336734074167754,44.9296153465022,22.4530237993025,4.67338458700322e-26
"exp3","average","array_length1",-1.03795933168775,0.0963616906663754,4115.08869957356,-10.7714935729115,1.06201090670019e-26
"exp3","average","array_length2",1.12476145397184,0.0966131247214387,4118.48463533555,11.6419115644466,7.6351023373157e-31
"exp3","average","meanVal_c:array_length1",0.0698350202059864,0.0146300639076711,4115.70682126039,4.773391329437,1.87439707017299e-06
"exp3","average","meanVal_c:array_length2",-0.0553249238968462,0.0149181516294303,4122.20119089438,-3.70856425588959,0.000211180808411926
