"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","array_length"
"noise_overall","X2 - X10",-0.95437834794242,0.22705903601842,82,-4.20321676986682,0.000195322580849977,NA,NA
"noise_overall","X2 - X20",-0.479769491965573,0.228999604170656,82,-2.09506690504162,0.0971167018977681,NA,NA
"noise_overall","X10 - X20",0.474608855976848,0.215698353112723,82,2.20033602078,0.07709081780659,NA,NA
"noise_within_condition","X2 - X10",-1.17683865047995,0.305436504338217,82,-3.85297315076921,0.000669367483639549,"average",NA
"noise_within_condition","X2 - X20",-1.04761417628265,0.308046928319762,82,-3.40082656235806,0.00295913890077382,"average",NA
"noise_within_condition","X10 - X20",0.1292244741973,0.290154279351894,82,0.445364702136888,0.896583577947935,"average",NA
"noise_within_condition","X2 - X10",-0.731918045404887,0.336053217761871,82,-2.17798255371424,0.0810309110425506,"experience",NA
"noise_within_condition","X2 - X20",0.0880751923515092,0.33892530857702,82,0.259866082946988,0.963474625183703,"experience",NA
"noise_within_condition","X10 - X20",0.819993237756396,0.319239114639711,82,2.5685863672496,0.0319131344289358,"experience",NA
"condition_within_noise","average - experience",0.297998607037509,0.495324984992979,82,0.601622401586976,0.549085260350016,NA,"X2"
"condition_within_noise","average - experience",0.742919212112576,0.498091829992157,82,1.49153061218505,0.139659437586964,NA,"X10"
"condition_within_noise","average - experience",1.43368797567167,0.542002349135688,82,2.64516930223259,0.0097838690694704,NA,"X20"
