"experiment","condition","array_length","n","se","signed_err"
"exp3","average","2",46,0.416528158810614,-4.06275596533707
"exp3","average","10",46,0.454783365010385,-1.81508013942056
"exp3","average","20",46,0.44756090507279,-2.92571098230676
"exp3","experience","2",38,0.571604436366507,-4.24465693608801
"exp3","experience","10",38,0.516880657521658,-1.02227479455258
"exp3","experience","20",38,0.543631055835276,-2.54364905887841
