"level","band","n_trials","p","inward_skew"
"SD 3","14-17",1341,0.242093417661388,-0.0148101689396525
"SD 3","32+",1143,0.718243793491934,0.00497608572870412
"SD 5","14-17",1347,0.901497317372855,-0.00163178576281066
"SD 5","32+",1122,0.226781643381513,-0.0177590429620943
"SD 7","14-17",1194,0.0766820867879666,0.0223656679149177
"SD 7","32+",1275,0.00475498499897087,0.0354867620691666
