"valence","term","b","SE","df","t","p","model"
"positive","(Intercept)",30.2690662407348,2.87003683649554,3783.56670099206,10.5465776103748,1.19164112111381e-25,"meanGroup ~ rating * numberFaces"
"positive","rating",0.742974674854498,0.0225531024138097,3780.82674018254,32.9433468275106,1.82660313047858e-209,"meanGroup ~ rating * numberFaces"
"positive","numberFaces",4.48687484439604,0.411268863493076,3763.10083635482,10.9098335485141,2.64101525563725e-27,"meanGroup ~ rating * numberFaces"
"positive","rating:numberFaces",-0.0359855858559532,0.00323024817209839,3762.25065164681,-11.1401923130187,2.21185154170139e-28,"meanGroup ~ rating * numberFaces"
"positive","(Intercept)",125.689306054559,0.526700758502948,80.8687670753889,238.635133945523,5.99213592717555e-117,"rating ~ meanGroup_c * numberFaces"
"positive","meanGroup_c",0.752432732322268,0.0362227371510339,155.388017499166,20.772387497525,1.07558585994174e-46,"rating ~ meanGroup_c * numberFaces"
"positive","numberFaces",0.0990930779936463,0.0392624184075442,3719.77304411114,2.52386587512413,0.011648523945233,"rating ~ meanGroup_c * numberFaces"
"positive","meanGroup_c:numberFaces",-0.0167491093070724,0.0043705222185847,3737.93469709976,-3.83229016337006,0.000129043008918502,"rating ~ meanGroup_c * numberFaces"
"negative","(Intercept)",33.4349956419013,3.27634692618823,3504.65683513402,10.2049619271547,4.08203404387263e-24,"meanGroup ~ rating * numberFaces"
"negative","rating",0.718018957752814,0.0257063600678303,3487.68314522276,27.9315685246067,4.09067055985794e-155,"meanGroup ~ rating * numberFaces"
"negative","numberFaces",3.74160435224911,0.438697782430389,3481.55107774459,8.52888822806579,2.17156420176997e-17,"meanGroup ~ rating * numberFaces"
"negative","rating:numberFaces",-0.0297649174083118,0.00343695153500458,3481.70044110947,-8.66026683971619,7.08338112383971e-18,"meanGroup ~ rating * numberFaces"
"negative","(Intercept)",126.883539061754,0.563808030523212,103.800716801581,225.047413645398,2.09349522205051e-141,"rating ~ meanGroup_c * numberFaces"
"negative","meanGroup_c",0.744322722372675,0.0355847206881264,235.445476042402,20.9169190590565,1.30201224197176e-55,"rating ~ meanGroup_c * numberFaces"
"negative","numberFaces",0.143836236751141,0.046358956606299,3424.68088617112,3.10266337468857,0.00193350786123829,"rating ~ meanGroup_c * numberFaces"
"negative","meanGroup_c:numberFaces",-0.0153451253386353,0.00424345800436125,3447.13983554154,-3.61618409393098,0.00030325947085889,"rating ~ meanGroup_c * numberFaces"
