"trial_type","trial_index","time_elapsed","internal_node_id","participant_id","rt","url","view_history","responses"
"pavlovia","0","6","0.0-0.0","67d028b6021b038230ccfd4c","","","",""
"external-html","1","47957","0.0-1.0","67d028b6021b038230ccfd4c","47328.90000000596","external_page.html","",""
"instructions","2","206260","0.0-2.0","67d028b6021b038230ccfd4c","158300.80000001192","","[{""page_index"":0,""viewing_time"":78372.59999999404},{""page_index"":1,""viewing_time"":57612.40000000596},{""page_index"":2,""viewing_time"":20254.09999999404},{""page_index"":3,""viewing_time"":2061.300000011921}]",""
"survey-text","3","216422","0.0-3.0","67d028b6021b038230ccfd4c","10157.40000000596","","","{""Q0"":""67d028b6021b038230ccfd4c""}"
