"trial_type","trial_index","time_elapsed","internal_node_id","participant_id","rt","url","view_history","responses","stimulus","key_press","Name","config"
"pavlovia","0","4","0.0-0.0","66c3366a3b5834b89124e85a","","","","","","","",""
"external-html","1","4614","0.0-1.0","66c3366a3b5834b89124e85a","4503","external_page.html","","","","","",""
"instructions","2","10839","0.0-2.0","66c3366a3b5834b89124e85a","6225.100000143051","","[{""page_index"":0,""viewing_time"":1801},{""page_index"":1,""viewing_time"":629.9000000953674},{""page_index"":2,""viewing_time"":1131.7999999523163},{""page_index"":3,""viewing_time"":2662.2000000476837}]","","","","",""
"survey-text","3","14832","0.0-3.0","66c3366a3b5834b89124e85a","3990.7999999523163","","","{""Q0"":""66c3366a3b5834b89124e85a""}","","","",""
"instructions","4","16125","0.0-4.0","66c3366a3b5834b89124e85a","1293.2000000476837","","[{""page_index"":0,""viewing_time"":1293}]","","","","",""
"survey-text","5","21322","0.0-5.0","66c3366a3b5834b89124e85a","5195","","","{""Q0"":""giraffe""}","","","",""
"survey-text","6","25846","0.0-6.0-0.0","66c3366a3b5834b89124e85a","4522.599999904633","","","{""Q0"":""but""}","","","",""
"html-keyboard-response","7","26249","0.0-7.0","66c3366a3b5834b89124e85a","null","","","","<p style=""font-size: 48px;""> + </p>","null","fixation",""
"html-keyboard-response","8","27761","0.0-8.0","66c3366a3b5834b89124e85a","null","","","","<span class='grid'><div> </div> <div> </div> <div> </div> <div> </div> <div> </div> <div> </div> <div> </div> <div class='red' style='background-position:3300% 0%;margin-top:21px'></div> <div> </div> <div class='red' style='background-position:3500% 0%;margin-top:39px'></div> <div> </div> <div> </div> <div> </div> <div> </div></span>","null","stimulus",""
