"trial_type","trial_index","time_elapsed","internal_node_id","participant_id","rt","url","view_history","responses","stimulus","key_press","Name","config"
"pavlovia","0","11","0.0-0.0","67e97d506e0dfa7ff0b407c5","","","","","","","",""
"external-html","1","11480","0.0-1.0","67e97d506e0dfa7ff0b407c5","11043.099999904633","external_page.html","","","","","",""
"instructions","2","58654","0.0-2.0","67e97d506e0dfa7ff0b407c5","47173.09999990463","","[{""page_index"":0,""viewing_time"":13893.5},{""page_index"":1,""viewing_time"":11527.899999856949},{""page_index"":2,""viewing_time"":18927.799999952316},{""page_index"":3,""viewing_time"":2823.300000190735}]","","","","",""
"survey-text","3","62210","0.0-3.0","67e97d506e0dfa7ff0b407c5","3549.7999999523163","","","{""Q0"":""67e97d506e0dfa7ff0b407c5""}","","","",""
"instructions","4","65743","0.0-4.0","67e97d506e0dfa7ff0b407c5","3532.4000000953674","","[{""page_index"":0,""viewing_time"":3532.0999999046326}]","","","","",""
"survey-text","5","86327","0.0-5.0","67e97d506e0dfa7ff0b407c5","20582.099999904633","","","{""Q0"":"" Has 3 giraffes""}","","","",""
"survey-text","6","103056","0.0-6.0-0.0","67e97d506e0dfa7ff0b407c5","16725.10000014305","","","{""Q0"":""but""}","","","",""
"html-keyboard-response","7","103675","0.0-7.0","67e97d506e0dfa7ff0b407c5","null","","","","<p style=""font-size: 48px;""> + </p>","null","fixation",""
"html-keyboard-response","8","105183","0.0-8.0","67e97d506e0dfa7ff0b407c5","null","","","","<span class='grid'><div class='red' style='background-position:1600% 0%;margin-top:37px'></div> <div> </div> <div> </div> <div class='red' style='background-position:2000% 0%;margin-top:45px'></div> <div> </div> <div class='red' style='background-position:100% 0%;margin-top:20px'></div> <div> </div> <div class='red' style='background-position:1000% 0%;margin-top:35px'></div> <div class='red' style='background-position:200% 0%;margin-top:38px'></div> <div> </div> <div> </div> <div class='red' style='background-position:1500% 0%;margin-top:35px'></div> <div> </div> <div class='red' style='background-position:500% 0%;margin-top:42px'></div> <div> </div> <div class='red' style='background-position:800% 0%;margin-top:40px'></div> <div class='red' style='background-position:1200% 0%;margin-top:38px'></div> <div class='red' style='background-position:400% 0%;margin-top:35px'></div> <div class='red' style='background-position:700% 0%;margin-top:40px'></div></span>","null","stimulus",""
