"participant_id","trial","condition","array_length","n_items","shown_mean","item_sd","item_min","item_max","skew","n_at_edge"
"678f0bb28ec3307e4f1afb78",1,"average",2,2,13,3,10,16,0,0
"678f0bb28ec3307e4f1afb78",2,"average",7,7,7.57142857142857,4.98159879261791,1,16,0.248329325417045,1
"678f0bb28ec3307e4f1afb78",3,"average",4,4,10.25,5.88960949469487,3,17,-0.0527727366459146,0
"678f0bb28ec3307e4f1afb78",4,"average",12,12,38.5,6.7515430335097,29,48,0,0
"678f0bb28ec3307e4f1afb78",5,"average",12,12,11.5833333333333,5.64886911002744,2,20,-0.266053554344835,0
"678f0bb28ec3307e4f1afb78",6,"average",2,2,44,4,40,48,0,0
"678f0bb28ec3307e4f1afb78",7,"average",11,11,11.0909090909091,5.99172983755785,1,19,-0.202313013939853,1
"678f0bb28ec3307e4f1afb78",8,"average",8,8,9.125,4.78114787472632,1,17,-0.0292716637880728,1
"678f0bb28ec3307e4f1afb78",9,"average",10,10,12.2,5.19230199429887,3,19,-0.414217401477055,0
"678f0bb28ec3307e4f1afb78",10,"average",7,7,39.1428571428571,5.54020555133295,32,48,0.407356529439974,0
"678f0bb28ec3307e4f1afb78",11,"average",10,10,36.4,6.35924523823386,29,48,0.745847428200258,0
"678f0bb28ec3307e4f1afb78",12,"average",6,6,13,4.76095228569523,7,20,0.250197103249122,0
"678f0bb28ec3307e4f1afb78",13,"average",2,2,22,4,18,26,0,0
"678f0bb28ec3307e4f1afb78",14,"average",20,20,25.5,5.5,17,36,0.398497370398196,0
"678f0bb28ec3307e4f1afb78",15,"average",2,2,26,4,22,30,0,0
"678f0bb28ec3307e4f1afb78",16,"average",2,2,17,4,13,21,0,0
"678f0bb28ec3307e4f1afb78",17,"average",20,20,18.5,5.5,10,29,0.398497370398196,0
"678f0bb28ec3307e4f1afb78",18,"average",10,10,34.2,5.9464274989274,25,43,-0.125669583629516,0
"678f0bb28ec3307e4f1afb78",19,"average",10,10,22.2,5.9464274989274,13,31,-0.125669583629514,0
"678f0bb28ec3307e4f1afb78",20,"average",10,10,22.2,5.9464274989274,13,31,-0.125669583629514,0
