"participant_id","trial","array_length","item_sd","n_items","condition","level","experiment"
"678f0bb28ec3307e4f1afb78",1,2,3,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",6,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",9,10,5.19230199429887,10,"average",10,"exp3"
"678f0bb28ec3307e4f1afb78",11,10,6.35924523823386,10,"average",10,"exp3"
"678f0bb28ec3307e4f1afb78",13,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",14,20,5.5,20,"average",20,"exp3"
"678f0bb28ec3307e4f1afb78",15,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",16,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",17,20,5.5,20,"average",20,"exp3"
"678f0bb28ec3307e4f1afb78",18,10,5.9464274989274,10,"average",10,"exp3"
"678f0bb28ec3307e4f1afb78",19,10,5.9464274989274,10,"average",10,"exp3"
"678f0bb28ec3307e4f1afb78",20,10,5.9464274989274,10,"average",10,"exp3"
"678f0bb28ec3307e4f1afb78",21,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",22,20,5.5,20,"average",20,"exp3"
"678f0bb28ec3307e4f1afb78",23,10,5.9464274989274,10,"average",10,"exp3"
"678f0bb28ec3307e4f1afb78",24,20,5.5,20,"average",20,"exp3"
"678f0bb28ec3307e4f1afb78",25,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",26,20,5.5,20,"average",20,"exp3"
"678f0bb28ec3307e4f1afb78",27,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",28,10,5.9464274989274,10,"average",10,"exp3"
"678f0bb28ec3307e4f1afb78",29,10,5.9464274989274,10,"average",10,"exp3"
"678f0bb28ec3307e4f1afb78",30,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",31,20,5.5,20,"average",20,"exp3"
"678f0bb28ec3307e4f1afb78",32,20,5.5,20,"average",20,"exp3"
"678f0bb28ec3307e4f1afb78",33,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",34,10,5.9464274989274,10,"average",10,"exp3"
"678f0bb28ec3307e4f1afb78",35,20,5.5,20,"average",20,"exp3"
"678f0bb28ec3307e4f1afb78",36,20,5.5,20,"average",20,"exp3"
"678f0bb28ec3307e4f1afb78",37,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",38,10,5.9464274989274,10,"average",10,"exp3"
"678f0bb28ec3307e4f1afb78",39,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",40,10,5.9464274989274,10,"average",10,"exp3"
"678f0bb28ec3307e4f1afb78",41,20,5.5,20,"average",20,"exp3"
"678f0bb28ec3307e4f1afb78",42,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",43,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",44,20,5.5,20,"average",20,"exp3"
"678f0bb28ec3307e4f1afb78",45,20,5.5,20,"average",20,"exp3"
"678f0bb28ec3307e4f1afb78",46,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",47,20,5.5,20,"average",20,"exp3"
"678f0bb28ec3307e4f1afb78",48,10,5.9464274989274,10,"average",10,"exp3"
"678f0bb28ec3307e4f1afb78",49,10,5.9464274989274,10,"average",10,"exp3"
"678f0bb28ec3307e4f1afb78",50,10,5.9464274989274,10,"average",10,"exp3"
"678f0bb28ec3307e4f1afb78",51,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",52,10,5.9464274989274,10,"average",10,"exp3"
"678f0bb28ec3307e4f1afb78",53,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",54,10,5.9464274989274,10,"average",10,"exp3"
"678f0bb28ec3307e4f1afb78",55,10,5.9464274989274,10,"average",10,"exp3"
"678f0bb28ec3307e4f1afb78",56,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",57,20,5.5,20,"average",20,"exp3"
"678f0bb28ec3307e4f1afb78",58,20,5.5,20,"average",20,"exp3"
"678f0bb28ec3307e4f1afb78",59,10,5.9464274989274,10,"average",10,"exp3"
"678f0bb28ec3307e4f1afb78",60,20,5.5,20,"average",20,"exp3"
"678f0bb28ec3307e4f1afb78",61,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",62,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",63,10,5.9464274989274,10,"average",10,"exp3"
"678f0bb28ec3307e4f1afb78",64,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",65,20,5.5,20,"average",20,"exp3"
"678f0bb28ec3307e4f1afb78",66,20,5.5,20,"average",20,"exp3"
"678f0bb28ec3307e4f1afb78",67,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",68,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",69,20,5.5,20,"average",20,"exp3"
"678f0bb28ec3307e4f1afb78",70,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",71,20,5.5,20,"average",20,"exp3"
"678f0bb28ec3307e4f1afb78",72,2,4,2,"average",2,"exp3"
"678f0bb28ec3307e4f1afb78",73,10,5.9464274989274,10,"average",10,"exp3"
"678f0bb28ec3307e4f1afb78",74,2,4,2,"average",2,"exp3"
