"participant_id","trial","condition","array_length","n_items","shown_mean","item_sd","item_min","item_max","skew","n_at_edge"
"67ad0557981df85a8b4f3fb5",55,"average",12,12,34.3333333333333,5.45180907793204,25,43,-0.206282093856247,0
"67ad0557981df85a8b4f3fb5",56,"average",8,8,15,5.47722557505166,7,23,0,0
"67ad0557981df85a8b4f3fb5",57,"average",6,6,27,4.32049379893857,21,33,0,0
"67ad0557981df85a8b4f3fb5",58,"average",2,2,28,4,24,32,0,0
"67ad0557981df85a8b4f3fb5",59,"average",2,2,25,4,21,29,0,0
"67ad0557981df85a8b4f3fb5",60,"average",6,6,15,4.32049379893857,9,21,0,0
"67ad0557981df85a8b4f3fb5",61,"average",6,6,29,4.32049379893857,23,35,0,0
"67ad0557981df85a8b4f3fb5",62,"average",6,6,15,4.32049379893857,9,21,0,0
"67ad0557981df85a8b4f3fb5",63,"average",2,2,31,4,27,35,0,0
"67ad0557981df85a8b4f3fb5",64,"average",12,12,27.3333333333333,5.45180907793204,18,36,-0.206282093856245,0
"67ad0557981df85a8b4f3fb5",65,"average",8,8,30,5.47722557505166,22,38,0,0
"67ad0557981df85a8b4f3fb5",66,"average",6,6,36,4.32049379893857,30,42,0,0
"67ad0557981df85a8b4f3fb5",67,"average",8,8,23,5.47722557505166,15,31,0,0
"67ad0557981df85a8b4f3fb5",68,"average",8,8,24,5.47722557505166,16,32,0,0
"67ad0557981df85a8b4f3fb5",69,"average",12,12,14.3333333333333,5.45180907793204,5,23,-0.206282093856245,0
"67ad0557981df85a8b4f3fb5",70,"average",12,12,26.3333333333333,5.45180907793204,17,35,-0.206282093856245,0
"67ad0557981df85a8b4f3fb5",71,"average",12,12,32.3333333333333,5.45180907793204,23,41,-0.206282093856247,0
"67ad0557981df85a8b4f3fb5",72,"average",6,6,34,4.32049379893857,28,40,0,0
"67ad0557981df85a8b4f3fb5",73,"average",2,2,23,4,19,27,0,0
"67ad0557981df85a8b4f3fb5",74,"average",12,12,19.3333333333333,5.45180907793204,10,28,-0.206282093856245,0
"67ad0557981df85a8b4f3fb5",75,"average",8,8,35,5.47722557505166,27,43,0,0
"67ad0557981df85a8b4f3fb5",76,"average",8,8,34,5.47722557505166,26,42,0,0
"67ad0557981df85a8b4f3fb5",77,"average",12,12,18.3333333333333,5.45180907793204,9,27,-0.206282093856245,0
"67ad0557981df85a8b4f3fb5",78,"average",6,6,23,4.32049379893857,17,29,0,0
"67ad0557981df85a8b4f3fb5",79,"average",2,2,19,4,15,23,0,0
"67ad0557981df85a8b4f3fb5",80,"average",6,6,25,4.32049379893857,19,31,0,0
"67ad0557981df85a8b4f3fb5",81,"average",6,6,23,4.32049379893857,17,29,0,0
"67ad0557981df85a8b4f3fb5",82,"average",6,6,32,4.32049379893857,26,38,0,0
"67ad0557981df85a8b4f3fb5",83,"average",12,12,32.3333333333333,5.45180907793204,23,41,-0.206282093856247,0
"67ad0557981df85a8b4f3fb5",84,"average",12,12,23.3333333333333,5.45180907793204,14,32,-0.206282093856245,0
"67ad0557981df85a8b4f3fb5",85,"average",8,8,23,5.47722557505166,15,31,0,0
"67ad0557981df85a8b4f3fb5",86,"average",6,6,21,4.32049379893857,15,27,0,0
"67ad0557981df85a8b4f3fb5",87,"average",6,6,36,4.32049379893857,30,42,0,0
"67ad0557981df85a8b4f3fb5",88,"average",2,2,16,4,12,20,0,0
"67ad0557981df85a8b4f3fb5",89,"average",2,2,34,4,30,38,0,0
"67ad0557981df85a8b4f3fb5",90,"average",6,6,20,4.32049379893857,14,26,0,0
"67ad0557981df85a8b4f3fb5",91,"average",2,2,23,4,19,27,0,0
"67ad0557981df85a8b4f3fb5",92,"average",2,2,16,4,12,20,0,0
"67ad0557981df85a8b4f3fb5",93,"average",2,2,24,4,20,28,0,0
"67ad0557981df85a8b4f3fb5",94,"average",12,12,35.3333333333333,5.45180907793204,26,44,-0.206282093856247,0
"67ad0557981df85a8b4f3fb5",95,"average",8,8,22,5.47722557505166,14,30,0,0
"67ad0557981df85a8b4f3fb5",96,"average",2,2,21,4,17,25,0,0
"67ad0557981df85a8b4f3fb5",97,"average",2,2,33,4,29,37,0,0
"67ad0557981df85a8b4f3fb5",98,"average",6,6,23,4.32049379893857,17,29,0,0
"67ad0557981df85a8b4f3fb5",99,"average",8,8,22,5.47722557505166,14,30,0,0
"67ad0557981df85a8b4f3fb5",100,"average",2,2,20,4,16,24,0,0
"67ad0557981df85a8b4f3fb5",101,"average",2,2,17,4,13,21,0,0
"67ad0557981df85a8b4f3fb5",102,"average",8,8,31,5.47722557505166,23,39,0,0
"67ad0557981df85a8b4f3fb5",103,"average",8,8,28,5.47722557505166,20,36,0,0
"67ad0557981df85a8b4f3fb5",104,"average",12,12,33.3333333333333,5.45180907793204,24,42,-0.206282093856247,0
"67ad0557981df85a8b4f3fb5",105,"average",12,12,15.3333333333333,5.45180907793204,6,24,-0.206282093856245,0
"67ad0557981df85a8b4f3fb5",106,"average",8,8,29,5.47722557505166,21,37,0,0
"67ad0557981df85a8b4f3fb5",107,"average",2,2,17,4,13,21,0,0
"67ad0557981df85a8b4f3fb5",108,"average",6,6,17,4.32049379893857,11,23,0,0
"67ad0557981df85a8b4f3fb5",109,"average",12,12,17.3333333333333,5.45180907793204,8,26,-0.206282093856245,0
"67ad0557981df85a8b4f3fb5",110,"average",6,6,19,4.32049379893857,13,25,0,0
"67ad0557981df85a8b4f3fb5",111,"average",8,8,23,5.47722557505166,15,31,0,0
"67ad0557981df85a8b4f3fb5",112,"average",6,6,27,4.32049379893857,21,33,0,0
"67ad0557981df85a8b4f3fb5",113,"average",8,8,29,5.47722557505166,21,37,0,0
"67ad0557981df85a8b4f3fb5",114,"average",12,12,23.3333333333333,5.45180907793204,14,32,-0.206282093856245,0
"67ad0557981df85a8b4f3fb5",115,"average",8,8,28,5.47722557505166,20,36,0,0
"67ad0557981df85a8b4f3fb5",116,"average",8,8,21,5.47722557505166,13,29,0,0
"67d8b5e7ceb82869824198a2",1,"average",4,4,13.5,4.27200187265877,8,19,0,0
"67d8b5e7ceb82869824198a2",2,"average",10,10,35.3,4.05092582010582,29,41,-0.127806114594809,0
"67d8b5e7ceb82869824198a2",3,"average",12,12,38.1666666666667,6.41396046829795,29,48,0.0477239427721314,0
"67d8b5e7ceb82869824198a2",4,"average",5,5,38,4,32,43,-0.28125,0
"67d8b5e7ceb82869824198a2",5,"average",7,7,40,4.95695759225642,33,47,0.16889579681566,0
"67d8b5e7ceb82869824198a2",6,"average",8,8,12.375,6.01949956391725,4,20,-0.274818373842379,0
"67d8b5e7ceb82869824198a2",7,"average",12,12,39.25,5.37160745649444,30,48,0.00705675861297084,0
"67d8b5e7ceb82869824198a2",8,"average",2,2,13,6,7,19,0,0
"67d8b5e7ceb82869824198a2",9,"average",3,3,9,4.96655480858378,2,13,-0.685667537488922,0
"67d8b5e7ceb82869824198a2",10,"average",5,5,34.2,3.86781592116274,29,40,0.221490502505886,0
