"participant_id","trial","condition","array_length","n_items","shown_mean","item_sd","item_min","item_max","skew","n_at_edge"
"666fb6f24d1c14f333eb4a0a",1,"average",3,3,39,6.97614984548545,30,47,-0.212072860755985,0
"666fb6f24d1c14f333eb4a0a",2,"average",3,3,6,3.74165738677394,1,10,-0.381801774160606,1
"666fb6f24d1c14f333eb4a0a",3,"average",9,9,40.7777777777778,4.66137265853401,32,47,-0.490951972445352,0
"666fb6f24d1c14f333eb4a0a",4,"average",9,9,39,6.46357314322177,29,47,-0.348104670612343,0
"666fb6f24d1c14f333eb4a0a",5,"average",4,4,9.25,2.6809513236909,5,12,-0.656807734499699,0
"666fb6f24d1c14f333eb4a0a",6,"average",10,10,38.3,5.40462764674866,29,45,-0.514451290063581,0
"666fb6f24d1c14f333eb4a0a",7,"average",2,2,32.5,0.5,32,33,0,0
"666fb6f24d1c14f333eb4a0a",8,"average",8,8,39.125,4.80722113075735,30,46,-0.340195612609089,0
"666fb6f24d1c14f333eb4a0a",9,"average",7,7,39.2857142857143,5.22943006220661,30,48,-0.12011729421121,0
"666fb6f24d1c14f333eb4a0a",10,"average",5,5,42,4.81663783151692,33,47,-1.03090940508091,0
"666fb6f24d1c14f333eb4a0a",11,"average",11,11,10.1818181818182,5.42415777824593,1,18,-0.198578203979181,1
"666fb6f24d1c14f333eb4a0a",12,"average",6,6,11.5,5.67890834580027,4,19,0.0873625705501394,0
"666fb6f24d1c14f333eb4a0a",13,"average",12,12,10.6666666666667,5.40575824674228,2,19,-0.0764335405357014,0
"666fb6f24d1c14f333eb4a0a",14,"average",4,4,12.25,6.75925291729789,1,19,-0.882511181643194,1
"666fb6f24d1c14f333eb4a0a",15,"average",7,7,7.14285714285714,5.30306034093445,1,18,0.885690312122612,1
"666fb6f24d1c14f333eb4a0a",16,"average",9,9,35.8888888888889,5.48623417583489,29,48,0.847357447107759,0
"666fb6f24d1c14f333eb4a0a",17,"average",9,9,13.4444444444444,5.81398908975606,3,20,-0.800805095507992,0
"666fb6f24d1c14f333eb4a0a",18,"average",2,2,11.5,3.5,8,15,0,0
"666fb6f24d1c14f333eb4a0a",19,"average",2,2,7.5,3.5,4,11,0,0
"666fb6f24d1c14f333eb4a0a",20,"average",4,4,9.5,6.57647321898295,2,17,0,0
"666fb6f24d1c14f333eb4a0a",21,"average",2,2,24,4,20,28,0,0
"666fb6f24d1c14f333eb4a0a",22,"average",2,2,32,4,28,36,0,0
"666fb6f24d1c14f333eb4a0a",23,"average",2,2,18,4,14,22,0,0
"666fb6f24d1c14f333eb4a0a",24,"average",2,2,34,4,30,38,0,0
"666fb6f24d1c14f333eb4a0a",25,"average",2,2,33,4,29,37,0,0
"666fb6f24d1c14f333eb4a0a",26,"average",2,2,16,4,12,20,0,0
"666fb6f24d1c14f333eb4a0a",27,"average",2,2,34,4,30,38,0,0
"666fb6f24d1c14f333eb4a0a",28,"average",2,2,17,4,13,21,0,0
"666fb6f24d1c14f333eb4a0a",29,"average",2,2,35,4,31,39,0,0
"666fb6f24d1c14f333eb4a0a",30,"average",2,2,29,4,25,33,0,0
"666fb6f24d1c14f333eb4a0a",31,"average",2,2,14,4,10,18,0,0
"666fb6f24d1c14f333eb4a0a",32,"average",2,2,31,4,27,35,0,0
"666fb6f24d1c14f333eb4a0a",33,"average",2,2,24,4,20,28,0,0
"666fb6f24d1c14f333eb4a0a",34,"average",2,2,17,4,13,21,0,0
"666fb6f24d1c14f333eb4a0a",35,"average",2,2,30,4,26,34,0,0
"666fb6f24d1c14f333eb4a0a",36,"average",2,2,32,4,28,36,0,0
"666fb6f24d1c14f333eb4a0a",37,"average",10,10,34.2,5.9464274989274,25,43,-0.125669583629516,0
"666fb6f24d1c14f333eb4a0a",38,"average",10,10,22.2,5.9464274989274,13,31,-0.125669583629514,0
"666fb6f24d1c14f333eb4a0a",39,"average",10,10,23.2,5.9464274989274,14,32,-0.125669583629514,0
"666fb6f24d1c14f333eb4a0a",40,"average",10,10,29.2,5.9464274989274,20,38,-0.125669583629514,0
