"participant_id","trial","array_length","item_sd","n_items","condition","level","experiment"
"6683fb33cc602af8407e62e9",79,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",80,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",81,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",82,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",83,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",84,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",85,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",86,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",87,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",88,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",89,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",90,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",91,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",92,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",93,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",94,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",95,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",96,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",97,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",98,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",99,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",100,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",101,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",102,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",103,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",104,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",105,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",106,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",107,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",108,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",109,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",110,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",111,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",112,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",113,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",114,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",115,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",116,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",2,2,7,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",3,2,3,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",6,10,4.12431812546026,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",15,2,5,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",21,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",22,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",23,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",24,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",25,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",26,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",27,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",28,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",29,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",30,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",31,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",32,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",33,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",34,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",35,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",36,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",37,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",38,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",39,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",40,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",41,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",42,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",43,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",44,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",45,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",46,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",47,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",48,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",49,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",50,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",51,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",52,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",53,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",54,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",55,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",56,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",57,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",58,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",59,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",60,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",61,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",62,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",63,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",64,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",65,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",66,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",67,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",68,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",69,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",70,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",71,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",72,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",73,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",74,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",75,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",76,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",77,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",78,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",79,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",80,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",81,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",82,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",83,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",84,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",85,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",86,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",87,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",88,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",89,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",90,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",91,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",92,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",93,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",94,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",95,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",96,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",97,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",98,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",99,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",100,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",101,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",102,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",103,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",104,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",105,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",106,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",107,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",108,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",109,20,5.5,20,"average",20,"exp2_batch2"
"6143af8721d1445864c4f6c8",110,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",111,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",112,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",113,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6143af8721d1445864c4f6c8",114,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",115,2,4,2,"average",2,"exp2_batch2"
"6143af8721d1445864c4f6c8",116,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",2,2,5.5,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",7,2,6,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",21,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",22,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",23,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",24,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",25,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",26,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",27,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",28,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",29,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",30,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",31,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",32,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",33,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",34,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",35,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",36,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",37,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",38,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",39,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",40,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",41,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",42,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",43,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",44,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",45,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",46,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",47,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",48,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",49,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",50,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",51,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",52,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",53,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",54,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",55,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",56,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",57,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",58,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",59,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",60,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",61,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",62,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",63,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",64,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",65,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",66,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",67,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",68,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",69,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",70,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",71,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",72,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",73,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",74,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",75,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",76,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",77,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",78,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",79,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",80,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",81,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",82,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",83,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",84,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",85,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",86,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",87,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",88,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",89,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",90,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",91,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",92,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",93,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",94,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",95,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",96,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",97,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",98,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",99,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",100,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",101,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",102,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",103,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",104,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",105,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",106,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",107,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",108,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",109,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",110,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",111,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",112,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6627e29477d23bd171a6728a",113,20,5.5,20,"average",20,"exp2_batch2"
"6627e29477d23bd171a6728a",114,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",115,2,4,2,"average",2,"exp2_batch2"
"6627e29477d23bd171a6728a",116,2,4,2,"average",2,"exp2_batch2"
"651b249337102ada9fee4951",1,10,6.19354502688081,10,"average",10,"exp2_batch2"
"651b249337102ada9fee4951",3,10,4.47325384926901,10,"average",10,"exp2_batch2"
"651b249337102ada9fee4951",11,2,4,2,"average",2,"exp2_batch2"
"651b249337102ada9fee4951",12,10,5.07543101617981,10,"average",10,"exp2_batch2"
"651b249337102ada9fee4951",13,10,4.46766158073774,10,"average",10,"exp2_batch2"
"651b249337102ada9fee4951",15,10,5.14684369298311,10,"average",10,"exp2_batch2"
"651b249337102ada9fee4951",21,2,4,2,"average",2,"exp2_batch2"
"651b249337102ada9fee4951",22,2,4,2,"average",2,"exp2_batch2"
"651b249337102ada9fee4951",23,2,4,2,"average",2,"exp2_batch2"
"651b249337102ada9fee4951",24,20,5.5,20,"average",20,"exp2_batch2"
"651b249337102ada9fee4951",25,20,5.5,20,"average",20,"exp2_batch2"
"651b249337102ada9fee4951",26,2,4,2,"average",2,"exp2_batch2"
"651b249337102ada9fee4951",27,20,5.5,20,"average",20,"exp2_batch2"
"651b249337102ada9fee4951",28,2,4,2,"average",2,"exp2_batch2"
