"participant_id","trial","array_length","item_sd","n_items","condition","level","experiment"
"676f2ff678d74407b518207d",96,2,4,2,"experience",2,"short_exposure"
"676f2ff678d74407b518207d",97,20,5.5,20,"experience",20,"short_exposure"
"676f2ff678d74407b518207d",98,2,4,2,"experience",2,"short_exposure"
"676f2ff678d74407b518207d",99,2,4,2,"experience",2,"short_exposure"
"676f2ff678d74407b518207d",100,2,4,2,"experience",2,"short_exposure"
"676f2ff678d74407b518207d",101,20,5.5,20,"experience",20,"short_exposure"
"676f2ff678d74407b518207d",102,2,4,2,"experience",2,"short_exposure"
"676f2ff678d74407b518207d",103,2,4,2,"experience",2,"short_exposure"
"676f2ff678d74407b518207d",104,20,5.5,20,"experience",20,"short_exposure"
"676f2ff678d74407b518207d",105,2,4,2,"experience",2,"short_exposure"
"676f2ff678d74407b518207d",106,10,5.9464274989274,10,"experience",10,"short_exposure"
"676f2ff678d74407b518207d",107,10,5.9464274989274,10,"experience",10,"short_exposure"
"676f2ff678d74407b518207d",108,10,5.9464274989274,10,"experience",10,"short_exposure"
"676f2ff678d74407b518207d",109,20,5.5,20,"experience",20,"short_exposure"
"676f2ff678d74407b518207d",110,2,4,2,"experience",2,"short_exposure"
"676f2ff678d74407b518207d",111,20,5.5,20,"experience",20,"short_exposure"
"676f2ff678d74407b518207d",112,10,5.9464274989274,10,"experience",10,"short_exposure"
"676f2ff678d74407b518207d",113,2,4,2,"experience",2,"short_exposure"
"676f2ff678d74407b518207d",114,10,5.9464274989274,10,"experience",10,"short_exposure"
"676f2ff678d74407b518207d",115,20,5.5,20,"experience",20,"short_exposure"
"676f2ff678d74407b518207d",116,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",4,2,2.5,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",7,10,5.28109837060436,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",8,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",20,2,1,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",21,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",22,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",23,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",24,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",25,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",26,2,4,2,"experience",2,"short_exposure"
