"participant_id","trial","condition","array_length","n_items","shown_mean","item_sd","item_min","item_max","skew","n_at_edge"
"6683fb33cc602af8407e62e9",1,"average",6,6,37.8333333333333,4.7404875511093,30,43,-0.581304222585268,0
"6683fb33cc602af8407e62e9",2,"average",12,12,38.6666666666667,5.51261180284708,30,48,0.0303995183122768,0
"6683fb33cc602af8407e62e9",3,"average",6,6,6.66666666666667,3.68178700572909,2,13,0.385890065099259,0
"6683fb33cc602af8407e62e9",4,"average",6,6,15.5,4.11298755975102,7,20,-1.20727747634615,0
"6683fb33cc602af8407e62e9",5,"average",4,4,34,2.54950975679639,30,37,-0.543090835767279,0
"6683fb33cc602af8407e62e9",6,"average",2,2,8,1,7,9,0,0
"6683fb33cc602af8407e62e9",7,"average",10,10,11.4,6.15142259969188,2,20,-0.183322726081311,0
"6683fb33cc602af8407e62e9",8,"average",3,3,8,4.96655480858378,1,12,-0.685667537488922,1
"6683fb33cc602af8407e62e9",9,"average",2,2,33,2,31,35,0,0
"6683fb33cc602af8407e62e9",10,"average",3,3,37,6.97614984548545,29,46,0.212072860755985,0
"6683fb33cc602af8407e62e9",11,"average",10,10,38.9,5.5937465083788,30,47,-0.121763146648486,0
"6683fb33cc602af8407e62e9",12,"average",10,10,11.9,6.04069532421558,1,20,-0.418972492102791,1
"6683fb33cc602af8407e62e9",13,"average",8,8,39.5,5.02493781056044,31,46,-0.331022273178769,0
"6683fb33cc602af8407e62e9",14,"average",6,6,37.1666666666667,3.67045259092421,32,43,0.170395758498853,0
"6683fb33cc602af8407e62e9",15,"average",5,5,41.2,2.56124969497314,38,45,0.205692271755722,0
"6683fb33cc602af8407e62e9",16,"average",3,3,34,4.96655480858378,30,41,0.685667537488922,0
"6683fb33cc602af8407e62e9",17,"average",4,4,34.25,6.86931583201704,29,46,1.07156627127399,0
"6683fb33cc602af8407e62e9",18,"average",10,10,39.7,5.88302643203309,30,48,-0.169558165435877,0
"6683fb33cc602af8407e62e9",19,"average",6,6,41.5,3.30403793359983,38,48,0.998084764744569,0
"6683fb33cc602af8407e62e9",20,"average",5,5,39,5.21536192416212,33,46,0.177642626093325,0
"6683fb33cc602af8407e62e9",21,"average",10,10,19.2,5.9464274989274,10,28,-0.125669583629514,0
"6683fb33cc602af8407e62e9",22,"average",2,2,23,4,19,27,0,0
"6683fb33cc602af8407e62e9",23,"average",20,20,17.5,5.5,9,28,0.398497370398196,0
"6683fb33cc602af8407e62e9",24,"average",2,2,28,4,24,32,0,0
"6683fb33cc602af8407e62e9",25,"average",20,20,14.5,5.5,6,25,0.398497370398196,0
"6683fb33cc602af8407e62e9",26,"average",10,10,35.2,5.9464274989274,26,44,-0.125669583629516,0
"6683fb33cc602af8407e62e9",27,"average",10,10,20.2,5.9464274989274,11,29,-0.125669583629514,0
