"comparison","model","frame","array_length","slope","SE","df","ci_low","ci_high","t.ratio","p.value"
"compare_exp2_exp3","experience","no frame","2",0.921770882976744,0.0158908491553719,10326.5165798353,0.890621739983706,0.952920025969782,58.0063956283379,0
"compare_exp2_exp3","experience","Mondrian frame","2",0.879382637855334,0.0231412147901433,10343.2342215147,0.834021382147053,0.924743893563616,38.0007119691009,6.63608024582567e-296
"compare_exp2_exp3","experience","no frame","10",0.829566661628017,0.0156234440660317,10369.3468581976,0.798941699244535,0.860191624011498,53.0975537865976,0
"compare_exp2_exp3","experience","Mondrian frame","10",0.790980784977481,0.0220743117128927,10375.8927864203,0.747710881542382,0.83425068841258,35.8326363813872,3.22442855575931e-265
"compare_exp2_exp3","experience","no frame","20",0.871066882323365,0.0158706366468725,10344.0915501992,0.839957365958839,0.902176398687891,54.8854404334826,0
"compare_exp2_exp3","experience","Mondrian frame","20",0.887546642345224,0.0224384559085703,10322.3831473484,0.843562919536371,0.931530365154077,39.5547111602376,1.00397103628816e-318
"compare_exp2_exp3","average","no frame","2",0.811975873335746,0.0133717857695047,11836.2774191964,0.785764974525526,0.838186772145966,60.7230692543338,0
"compare_exp2_exp3","average","Mondrian frame","2",0.822423572734364,0.0180923649538515,11828.5140133763,0.786959560144889,0.857887585323838,45.456941357978,0
"compare_exp2_exp3","average","no frame","10",0.680472410591326,0.0132395912515603,11855.694672039,0.654520639119638,0.706424182063014,51.39678390835,0
"compare_exp2_exp3","average","Mondrian frame","10",0.7005722182139,0.0186082399959503,11834.3781265521,0.66409700749913,0.73704742892867,37.6484943426334,4.41347631074161e-293
"compare_exp2_exp3","average","no frame","20",0.740753497298564,0.0132285565455234,11826.4583081099,0.714823349116564,0.766683645480564,55.9965476769451,0
"compare_exp2_exp3","average","Mondrian frame","20",0.74128260863241,0.0185094966825732,11821.4538018204,0.705000946993938,0.77756427027088,40.048771792392,0
