"comparison","analysis","effect","df1","df2","MSE","F","ges","p"
"compare_exp2_exp3","tracking_correlation","frame",1,243,0.190028047403371,0.0365078676828072,0.000101236030503351,0.848630043811273
"compare_exp2_exp3","tracking_correlation","condition",1,243,0.190028047403371,2.9360292690941,0.00807664704605971,0.0878987512344288
"compare_exp2_exp3","tracking_correlation","frame:condition",1,243,0.190028047403371,0.67925736469361,0.00188022414283003,0.410650773851743
"compare_exp2_exp3","tracking_correlation","array_length",1.9435585286806,472.284722469385,0.0473113040816479,18.6669981546175,0.0244380628473298,2.3286924504537e-08
"compare_exp2_exp3","tracking_correlation","frame:array_length",1.9435585286806,472.284722469385,0.0473113040816479,0.273943524204876,0.000367484358124093,0.754188448308529
"compare_exp2_exp3","tracking_correlation","condition:array_length",1.9435585286806,472.284722469385,0.0473113040816479,6.85558283785643,0.0091160068144474,0.00130268173867684
"compare_exp2_exp3","tracking_correlation","frame:condition:array_length",1.9435585286806,472.284722469385,0.0473113040816479,1.77266750457065,0.00237319180477628,0.172062783368386
