"experiment","model","condition","array_length","slope","SE","df","ci_low","ci_high","t.ratio","p.value"
"exp2_batch2","combined","average","2",0.750589584404828,0.0213056189237664,91.1355960485779,0.708269438004783,0.792909730804874,35.2296540687464,7.14360293912497e-55
"exp2_batch2","combined","experience","2",0.644181845849036,0.0220760592319337,72.8723204678743,0.600183024506666,0.688180667191406,29.180110411971,6.12946849381291e-42
"exp2_batch2","combined","average","10",0.758455281288167,0.0265757239133716,114.382006786663,0.705810862813921,0.811099699762412,28.539402492308,7.56470988973576e-54
"exp2_batch2","combined","experience","10",0.681821967112955,0.0277421752725721,92.8148958587046,0.626730057139488,0.736913877086422,24.5770910324776,2.07311839144255e-42
"exp2_batch2","combined","average","20",0.751297553990665,0.0247501421828435,98.6629992507678,0.702185827128697,0.800409280852633,30.3552823430427,7.56876160900666e-52
"exp2_batch2","combined","experience","20",0.659556364005058,0.0258862716651821,82.1440710707961,0.608061675596781,0.711051052413335,25.4790018638406,9.3171608594785e-41
"exp2_batch2","experience","experience","2",0.645761855405417,0.0226037842170196,35.621793253972,0.599902350019877,0.691621360790957,28.5687497812507,3.77885491742284e-26
"exp2_batch2","experience","experience","10",0.684469837861995,0.0294743972368126,44.3825119708768,0.625082549866579,0.74385712585741,23.2225219862041,1.82515107606636e-26
"exp2_batch2","experience","experience","20",0.663952636519876,0.0279548705059027,40.9562777964326,0.607494799838467,0.720410473201285,23.7508750534073,1.4417186315153e-25
"exp2_batch2","average","average","2",0.749280898786468,0.021009421029238,47.0764668741169,0.707017207492818,0.791544590080118,35.6640431806151,1.00136151815386e-35
"exp2_batch2","average","average","10",0.755776765187685,0.0251834272242494,59.8292414644146,0.705399453277509,0.80615407709786,30.0108781246399,9.13750693719577e-38
"exp2_batch2","average","average","20",0.746463782620785,0.0228669162917227,47.5610077769632,0.700475800132942,0.792451765108627,32.6438323863977,3.21462820699187e-34
