"experiment","term","b","SE","df","t","p"
"exp2_batch2","(Intercept)",22.7285527901582,0.275358639709278,102.006312061111,82.5416366603021,3.19238415897001e-95
"exp2_batch2","meanVal_c",0.830114622961633,0.0133699432810527,307.629350439522,62.0881185141626,4.55506414780592e-176
"exp2_batch2","array_length1",-0.913607234063979,0.0681255727735224,9284.01515830126,-13.4106356375335,1.24976088641609e-40
"exp2_batch2","array_length2",1.22379555641896,0.0680792906290141,9283.67541707974,17.9760327276002,4.7689431541926e-71
"exp2_batch2","condition1",-0.885843309764991,0.275358639709278,102.006312063147,-3.21705289763292,0.0017360215701442
"exp2_batch2","meanVal_c:array_length1",0.0661130266417645,0.0189230787233177,203.915938604511,3.49377749828297,0.000584030007883165
"exp2_batch2","meanVal_c:array_length2",-0.0718871506289848,0.0192492261794811,201.369698685896,-3.73454755836439,0.000244769268550172
"exp2_batch2","meanVal_c:condition1",-0.0714190089703564,0.0133699432810527,307.629350436034,-5.34175856015546,1.79371058494399e-07
"exp2_batch2","array_length1:condition1",0.246021187483212,0.0681255727735224,9284.01515939488,3.61128982065353,0.00030628510779685
"exp2_batch2","array_length2:condition1",-0.0550829710319558,0.0680792906290141,9283.67541774719,-0.80910024947411,0.418478219736295
"exp2_batch2","meanVal_c:array_length1:condition1",0.00331048147154055,0.0189230787233177,203.915938594014,0.174944126161736,0.861297117786291
"exp2_batch2","meanVal_c:array_length2:condition1",0.00299922289019763,0.0192492261794811,201.369698685682,0.155810049829156,0.876338830168339
