"experiment","condition","array_length","n","se","signed_err"
"exp2_batch2","average","2",57,0.389617525125622,-4.01544341865957
"exp2_batch2","average","10",57,0.428827489485561,-2.09153667916704
"exp2_batch2","average","20",57,0.486382659199029,-3.87593724102197
"exp2_batch2","experience","2",47,0.47884489757207,-2.72875260000449
"exp2_batch2","experience","10",47,0.534009617884928,-0.196828523524723
"exp2_batch2","experience","20",47,0.532799480040068,-1.58819417477691
