"experiment","condition","array_length","n","se","inward","inward_low","inward_high"
"exp2_batch2","average","2",57,0.269925970062716,1.50806223503592,-2.27282016229385,5.28894463236569
"exp2_batch2","average","10",57,0.244839829242907,2.58165995797575,0.698753196121617,4.46456671982988
"exp2_batch2","average","20",57,0.268822588462311,2.08832298305983,-1.42116996064364,5.5978159267633
"exp2_batch2","experience","2",47,0.308298948716058,0.313729916655449,-2.04287255297894,2.67033238628983
"exp2_batch2","experience","10",47,0.330662619036,1.52815184224759,1.61230371283563,1.44399997165955
"exp2_batch2","experience","20",47,0.330528669464341,0.592361243956989,-0.749508765466212,1.93423125338019
