"experiment","model","term","b","SE","df","t","p"
"exp2_batch2","combined","(Intercept)",24.9979776341545,0.0664955318488425,101.41902146121,375.934697251236,2.79329858382282e-161
"exp2_batch2","combined","resp_c",0.707650432775118,0.0101253903022211,270.417405756762,69.8887066723626,4.03165409225518e-175
"exp2_batch2","combined","array_length1",0.686554184518413,0.0634379808584117,9344.04984562218,10.8224469825221,3.90220086174185e-27
"exp2_batch2","combined","array_length2",-0.902345571148639,0.0634415077167601,9356.31639983977,-14.2232680720205,1.9518765692981e-45
"exp2_batch2","combined","condition1",0.0480753189913224,0.0664955318488425,101.419021462915,0.722985705274259,0.471352715068388
"exp2_batch2","combined","resp_c:array_length1",-0.0102647176481859,0.0134766342164119,199.472813842021,-0.76166774903525,0.447157908941025
"exp2_batch2","combined","resp_c:array_length2",0.0124881914254426,0.0150272909778158,178.888424218471,0.83103411279375,0.407062176341204
"exp2_batch2","combined","resp_c:condition1",0.0457970404527685,0.0101253903022211,270.417405769613,4.5229901352763,9.13462041797529e-06
"exp2_batch2","combined","array_length1:condition1",-0.0726728659960918,0.0634379808584117,9344.0498448788,-1.14557344059061,0.252001030303775
"exp2_batch2","combined","array_length2:condition1",-0.0625719235624001,0.06344150771676,9356.31639996693,-0.986293135430478,0.324014791553156
"exp2_batch2","combined","resp_c:array_length1:condition1",0.00740682882512754,0.0134766342164119,199.472813829113,0.549605243133145,0.58320496059792
"exp2_batch2","combined","resp_c:array_length2:condition1",-0.00748038336516265,0.0150272909778158,178.888424216877,-0.497786552227255,0.619245858294698
"exp2_batch2","experience","(Intercept)",24.9478292882656,0.0871554083602697,45.3565743595007,286.245337582954,1.60847860266705e-75
"exp2_batch2","experience","resp_c",0.664728109929096,0.0154846597111779,118.868478267113,42.9281703523165,3.2492415390662e-74
"exp2_batch2","experience","array_length1",0.759361020537766,0.0917261523301973,4215.29623651109,8.27856615858263,1.65545242385055e-16
"exp2_batch2","experience","array_length2",-0.840550467889518,0.0916530398146036,4209.39151369106,-9.17100479798367,7.16424150611716e-20
"exp2_batch2","experience","resp_c:array_length1",-0.018966254523679,0.020277975571822,91.8840345110151,-0.93531301763842,0.35207867352372
"exp2_batch2","experience","resp_c:array_length2",0.0197417279328987,0.0230170067997225,77.2941221891953,0.857701790014535,0.393708887687931
"exp2_batch2","average","(Intercept)",25.0474107040554,0.0965967137085775,55.7625171873106,259.298787116308,1.28111938905989e-87
"exp2_batch2","average","resp_c",0.750507148864979,0.0133037324799763,154.195086341439,56.4132772509204,7.47442962866525e-105
"exp2_batch2","average","array_length1",0.611369040723971,0.0867984377933903,5134.25873260228,7.04354889634347,2.12112103116816e-12
"exp2_batch2","average","array_length2",-0.963808356632819,0.0868723707755344,5150.21109585503,-11.0945326808584,2.78304011964211e-28
"exp2_batch2","average","resp_c:array_length1",-0.00122625007851115,0.0180414959673314,109.568861231936,-0.0679683148632227,0.945934735258308
"exp2_batch2","average","resp_c:array_length2",0.00526961632270573,0.0197265850323131,104.719380694431,0.267132720340285,0.789892347228283
