"experiment","condition","term","b","SE","df","t","p"
"exp2_batch2","experience","(Intercept)",23.613224901792,0.42286081606315,46.0136704788453,55.8416008407494,6.2899040826371e-44
"exp2_batch2","experience","meanVal_c",0.901620814759336,0.0207847378706441,136.020644428286,43.3789841551365,1.55318878033802e-81
"exp2_batch2","experience","array_length1",-1.15877206067728,0.107781077791731,4193.31802353752,-10.751164159969,1.29680322710354e-26
"exp2_batch2","experience","array_length2",1.27850139593661,0.107874575206732,4191.87902463275,11.8517397958368,6.77375994979702e-32
"exp2_batch2","experience","meanVal_c:array_length1",0.0630747966131073,0.0286337912990793,97.7169878333664,2.20280981845165,0.0299585905893693
"exp2_batch2","experience","meanVal_c:array_length2",-0.0748396082882627,0.0309990837629391,82.7204337972008,-2.41425226824726,0.0179739903972819
"exp2_batch2","average","(Intercept)",21.8425153314331,0.358075579822794,55.9909355080643,60.9997345874373,6.6784616077523e-53
"exp2_batch2","average","meanVal_c",0.758675833930347,0.0171798322351255,167.604689191807,44.1608406617136,3.09412746578098e-94
"exp2_batch2","average","array_length1",-0.667556774060111,0.0861047477803917,5091.638934429,-7.75284512490182,1.07774416100077e-14
"exp2_batch2","average","array_length2",1.16842693284957,0.0858805222903182,5093.66406854157,13.6052611429134,1.95940195184778e-41
"exp2_batch2","average","meanVal_c:array_length1",0.0694747677678981,0.0249251024686727,105.061999895308,2.78734131003947,0.00630832042950331
"exp2_batch2","average","meanVal_c:array_length2",-0.0688921896743243,0.0238375786157467,122.103621595897,-2.89006659547272,0.00455949113635509
