"participant_id","condition","array_length","band","n_trials","dist","inward"
"average.5e3a8aeedc1d57292aea3f22","average","10","middle",17,3.13622291021672,2.82352941176471
"average.5e3a8aeedc1d57292aea3f22","average","20","extreme",14,8.23383458646617,3.57142857142857
"average.5e3a8aeedc1d57292aea3f22","average","20","middle",17,2.6390092879257,1.29411764705882
"average.5f4a4da1575d605c43bef871","average","2","extreme",22,8.5949948927477,3.63636363636364
"average.5f4a4da1575d605c43bef871","average","2","middle",10,2.1,0.7
"average.5f4a4da1575d605c43bef871","average","10","extreme",15,7.6876404494382,4.4
"average.5f4a4da1575d605c43bef871","average","10","middle",11,2.02042900919305,1.18181818181818
"average.5f4a4da1575d605c43bef871","average","20","extreme",15,8.46367041198502,2.6
"average.5f4a4da1575d605c43bef871","average","20","middle",16,2.875,0
"average.603470186bba1c26a354c27e","average","2","extreme",16,8.70467032967033,2.0625
"average.603470186bba1c26a354c27e","average","2","middle",13,3.02789518174134,-0.692307692307693
"average.603470186bba1c26a354c27e","average","10","extreme",15,8.3941391941392,2.66666666666667
"average.603470186bba1c26a354c27e","average","10","middle",16,3.21565934065934,-0.625
"average.603470186bba1c26a354c27e","average","20","extreme",15,8.83076923076923,3.93333333333333
"average.603470186bba1c26a354c27e","average","20","middle",16,2.71565934065934,-2.9375
"average.605fbc12c61d8d10250f6e51","average","2","extreme",19,7.78381437464629,1.42105263157895
"average.605fbc12c61d8d10250f6e51","average","2","middle",12,3.58064516129032,-1.83333333333333
"average.605fbc12c61d8d10250f6e51","average","10","extreme",16,8.60349462365591,1.0625
"average.605fbc12c61d8d10250f6e51","average","10","middle",16,2.74798387096774,1.6875
"average.605fbc12c61d8d10250f6e51","average","20","extreme",15,8.68028673835125,3.2
"average.605fbc12c61d8d10250f6e51","average","20","middle",15,2.8989247311828,-0.466666666666667
"average.607b73619e1bfba7bfb23cce","average","2","extreme",15,9.10967741935484,-1.06666666666667
"average.607b73619e1bfba7bfb23cce","average","2","middle",15,2.44301075268817,0.8
"average.607b73619e1bfba7bfb23cce","average","10","extreme",19,8.26655348047538,-3.36842105263158
"average.607b73619e1bfba7bfb23cce","average","10","middle",13,2.07196029776675,0
"average.607b73619e1bfba7bfb23cce","average","20","extreme",16,8.27620967741936,-3.5625
"average.607b73619e1bfba7bfb23cce","average","20","middle",15,3.09032258064516,1.06666666666667
"average.60c119b30aa5205b493541b6","average","2","extreme",20,9.1,-1.6
"average.60c119b30aa5205b493541b6","average","2","middle",12,2.16666666666667,-4.16666666666667
"average.60c119b30aa5205b493541b6","average","10","extreme",12,8.77456140350877,4.16666666666667
"average.60c119b30aa5205b493541b6","average","10","middle",20,3.0221052631579,0.95
"average.60c119b30aa5205b493541b6","average","20","extreme",18,9.0719298245614,2.61111111111111
"average.60c119b30aa5205b493541b6","average","20","middle",13,3.10283400809717,2.46153846153846
"average.6143af8721d1445864c4f6c8","average","2","extreme",16,8.06648936170213,1.3125
"average.6143af8721d1445864c4f6c8","average","2","middle",16,2.6875,-0.5
"average.6143af8721d1445864c4f6c8","average","10","extreme",17,8.32165206508135,4.76470588235294
"average.6143af8721d1445864c4f6c8","average","10","middle",14,3.42857142857143,6.85714285714286
"average.6143af8721d1445864c4f6c8","average","20","extreme",14,8.99848024316109,4
"average.6143af8721d1445864c4f6c8","average","20","middle",17,2.67709637046308,1.88235294117647
"average.616964223dcbf0aa539dbae2","average","2","extreme",13,8.20963651732882,-0.769230769230769
"average.616964223dcbf0aa539dbae2","average","2","middle",17,3.06205559146736,-2.35294117647059
"average.616964223dcbf0aa539dbae2","average","10","extreme",15,8.89230769230769,-1.26666666666667
"average.616964223dcbf0aa539dbae2","average","10","middle",16,2.81936813186813,-0.8125
"average.616964223dcbf0aa539dbae2","average","20","extreme",15,8.596336996337,-0.133333333333333
"average.616964223dcbf0aa539dbae2","average","20","middle",15,3.65567765567766,0.6
"average.627cea14552eb015f1daf9a1","average","2","extreme",17,8.27306501547988,-2.64705882352941
"average.627cea14552eb015f1daf9a1","average","2","middle",14,3.27218045112782,-0.857142857142857
"average.627cea14552eb015f1daf9a1","average","10","extreme",15,8.49684210526316,1.33333333333333
"average.627cea14552eb015f1daf9a1","average","10","middle",17,2.9733746130031,0.294117647058824
"average.627cea14552eb015f1daf9a1","average","20","extreme",14,8.5781954887218,-1.14285714285714
"average.627cea14552eb015f1daf9a1","average","20","middle",18,2.94970760233918,0.277777777777778
"average.628f83dc5398c04bac86f9e6","average","2","extreme",15,8.37088122605364,9.73333333333333
"average.628f83dc5398c04bac86f9e6","average","2","middle",13,2.75066312997347,-0.153846153846154
"average.628f83dc5398c04bac86f9e6","average","10","extreme",12,8.13984674329502,1.66666666666667
"average.628f83dc5398c04bac86f9e6","average","10","middle",16,2.94755747126437,1.6875
"average.628f83dc5398c04bac86f9e6","average","20","extreme",20,7.92413793103448,6.3
"average.628f83dc5398c04bac86f9e6","average","20","middle",11,2.46185997910136,0.545454545454546
"average.6290c65ed46e5dce4f16bb92","average","2","extreme",15,8.58666666666667,6.2
"average.6290c65ed46e5dce4f16bb92","average","2","middle",14,2.36666666666667,0.714285714285714
"average.6290c65ed46e5dce4f16bb92","average","10","extreme",17,8.81960784313726,6.41176470588235
"average.6290c65ed46e5dce4f16bb92","average","10","middle",13,3.46666666666667,2.15384615384615
"average.6290c65ed46e5dce4f16bb92","average","20","extreme",16,7.85833333333333,7.6875
"average.6290c65ed46e5dce4f16bb92","average","20","middle",15,2.30222222222222,5.53333333333333
"average.62b0b6c050a175081568bf35","average","2","extreme",19,8.74570637119113,3.8421052631579
"average.62b0b6c050a175081568bf35","average","2","middle",13,2.18137651821862,0.153846153846154
"average.62b0b6c050a175081568bf35","average","10","extreme",14,8.4421052631579,1.92857142857143
"average.62b0b6c050a175081568bf35","average","10","middle",17,2.97894736842105,-0.0588235294117649
"average.62b0b6c050a175081568bf35","average","20","extreme",17,8.38513931888545,1
"average.62b0b6c050a175081568bf35","average","20","middle",15,3.43649122807018,0.333333333333333
"average.631fdedf78d4f7b0a6b985ad","average","2","extreme",15,8.1822695035461,-0.533333333333334
"average.631fdedf78d4f7b0a6b985ad","average","2","middle",17,2.5613266583229,-0.470588235294118
"average.631fdedf78d4f7b0a6b985ad","average","10","extreme",11,9.65280464216634,4.09090909090909
"average.631fdedf78d4f7b0a6b985ad","average","10","middle",21,2.42401215805471,1.71428571428571
"average.631fdedf78d4f7b0a6b985ad","average","20","extreme",16,7.75,3.3125
"average.631fdedf78d4f7b0a6b985ad","average","20","middle",14,2.76595744680851,2.57142857142857
"average.63251e479509813fab713ad2","average","2","extreme",15,7.4989247311828,8.73333333333333
"average.63251e479509813fab713ad2","average","2","middle",15,3.50824372759857,-1.6
"average.63251e479509813fab713ad2","average","10","extreme",13,8.00413564929694,4.15384615384615
"average.63251e479509813fab713ad2","average","10","middle",19,3.10243350311262,0.736842105263158
"average.63251e479509813fab713ad2","average","20","extreme",13,8.61952026468155,2.61538461538462
"average.63251e479509813fab713ad2","average","20","middle",18,2.92652329749104,-3.44444444444445
"average.633f4f203450d46b01e3d16b","average","2","extreme",14,8.71428571428571,1.57142857142857
"average.633f4f203450d46b01e3d16b","average","2","middle",18,2.45964912280702,0
"average.633f4f203450d46b01e3d16b","average","10","extreme",17,8.59133126934985,4.35294117647059
