"response_value","array_length","condition","mean_true","n_trials"
3,"2","experience",16,1
4,"10","experience",15,1
5,"2","experience",17.6666666666667,3
5,"20","experience",14,2
6,"2","experience",14.5,2
6,"10","experience",17,3
6,"20","experience",15,1
7,"2","experience",14.8,5
7,"10","experience",14,1
7,"20","experience",15.25,4
8,"2","experience",15.8571428571429,7
8,"20","experience",15.5,2
9,"2","experience",15.1875,16
9,"10","experience",14.8333333333333,6
9,"20","experience",17,12
10,"2","experience",15.9565217391304,23
10,"10","experience",17.3,10
10,"20","experience",16.7,10
11,"2","experience",18.1923076923077,26
11,"10","experience",17.3,10
11,"20","experience",17.3636363636364,11
12,"2","experience",16.8148148148148,27
12,"10","experience",17.125,16
12,"20","experience",18.7142857142857,28
13,"2","experience",18.3939393939394,33
13,"10","experience",16.7777777777778,27
13,"20","experience",20.3225806451613,31
14,"2","experience",18.4838709677419,31
14,"10","experience",17.8846153846154,26
14,"20","experience",18.5384615384615,26
15,"2","experience",19.3958333333333,48
15,"10","experience",17.875,32
15,"20","experience",19.4,40
16,"2","experience",19.2244897959184,49
16,"10","experience",17.9354838709677,31
16,"20","experience",19.952380952381,42
17,"2","experience",19.75,48
17,"10","experience",19.4705882352941,34
17,"20","experience",20.5869565217391,46
18,"2","experience",20.8297872340426,47
18,"10","experience",18.7692307692308,39
18,"20","experience",20.1333333333333,45
19,"2","experience",22.6530612244898,49
19,"10","experience",20.0740740740741,54
19,"20","experience",21.1296296296296,54
20,"2","experience",24.1818181818182,55
20,"10","experience",20.0338983050847,59
20,"20","experience",22.04,50
21,"2","experience",25.3777777777778,45
21,"10","experience",21.2765957446809,47
21,"20","experience",22.42,50
22,"2","experience",23.62,50
22,"10","experience",22.3488372093023,43
22,"20","experience",21.7105263157895,38
23,"2","experience",25.2205882352941,68
23,"10","experience",23.1290322580645,62
23,"20","experience",26.0350877192982,57
24,"2","experience",26.8039215686275,51
24,"10","experience",23.0980392156863,51
24,"20","experience",25.0677966101695,59
25,"2","experience",27.7307692307692,52
25,"10","experience",23.8409090909091,44
25,"20","experience",25.7142857142857,42
26,"2","experience",29.3939393939394,33
26,"10","experience",24.6530612244898,49
26,"20","experience",26.8717948717949,39
27,"2","experience",28.5,38
27,"10","experience",25.8103448275862,58
27,"20","experience",26.5957446808511,47
28,"2","experience",28.8958333333333,48
28,"10","experience",27.6078431372549,51
28,"20","experience",29.375,40
29,"2","experience",30.0714285714286,42
29,"10","experience",27.5217391304348,46
29,"20","experience",27.1904761904762,42
30,"2","experience",30.75,36
30,"10","experience",27.6078431372549,51
30,"20","experience",30.7173913043478,46
31,"2","experience",31.825,40
31,"10","experience",29.7,50
31,"20","experience",30.2857142857143,42
32,"2","experience",30.1666666666667,24
32,"10","experience",29.2826086956522,46
32,"20","experience",29.8947368421053,38
33,"2","experience",31.375,32
33,"10","experience",30.0909090909091,33
33,"20","experience",29.9285714285714,28
34,"2","experience",32.9583333333333,24
34,"10","experience",30.46875,32
34,"20","experience",31.5675675675676,37
35,"2","experience",32.75,28
35,"10","experience",31.4166666666667,24
35,"20","experience",32.0344827586207,29
36,"2","experience",33.1,10
36,"10","experience",32.0384615384615,26
36,"20","experience",31.85,20
37,"2","experience",34.3333333333333,12
37,"10","experience",33.3333333333333,24
37,"20","experience",31,18
38,"2","experience",29.375,8
38,"10","experience",33.0909090909091,11
38,"20","experience",30.9285714285714,14
39,"2","experience",33.6,5
39,"10","experience",31.0588235294118,17
39,"20","experience",31.7647058823529,17
40,"2","experience",32.5714285714286,7
40,"10","experience",31.4615384615385,13
40,"20","experience",33.5833333333333,12
41,"2","experience",33.5714285714286,7
41,"10","experience",32.6,5
41,"20","experience",32.25,8
42,"2","experience",34.2,5
42,"10","experience",33.5,2
42,"20","experience",33.25,4
43,"2","experience",32.6666666666667,3
43,"10","experience",32.6666666666667,6
43,"20","experience",32,2
44,"2","experience",32.25,4
44,"20","experience",34,1
45,"2","experience",36,1
45,"10","experience",33.6,5
45,"20","experience",36,1
46,"2","experience",36,1
46,"10","experience",19,1
46,"20","experience",36,2
48,"10","experience",32.5,2
48,"20","experience",35,2
